"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,15.38,15.43,15.32,15.34,37,1698
03/01/2018,14:00,15.35,15.35,15.22,15.24,16,1731
03/02/2018,14:00,15.26,15.30,15.26,15.27,16,1731
03/05/2018,14:00,15.33,15.33,15.33,15.33,4,1734
03/06/2018,14:00,15.35,15.35,15.30,15.33,13,1738
03/07/2018,14:00,15.34,15.34,15.21,15.23,28,1741
03/08/2018,14:00,15.22,15.25,15.22,15.25,10,1745
03/09/2018,14:00,15.25,15.27,15.24,15.25,23,1757
03/12/2018,14:00,15.21,15.29,15.21,15.24,60,1774
03/13/2018,14:00,15.19,15.25,15.12,15.13,62,1805
03/14/2018,14:00,15.09,15.12,15.01,15.10,65,1831
03/15/2018,14:00,15.19,15.19,15.14,15.16,92,1868
03/16/2018,14:00,15.20,15.29,15.11,15.28,92,1868
03/19/2018,14:00,15.28,15.34,15.05,15.34,78,1897
03/20/2018,14:00,15.36,15.40,15.20,15.35,39,1889
03/21/2018,14:00,15.25,15.43,15.25,15.42,39,1888
03/22/2018,14:00,15.32,15.42,15.22,15.33,80,1893
03/23/2018,14:00,15.21,15.30,15.13,15.25,48,1918
03/26/2018,14:00,15.27,15.33,15.25,15.29,30,1926
03/27/2018,14:00,15.30,15.33,15.25,15.32,17,1922
03/28/2018,14:00,15.35,15.35,15.26,15.27,17,1928
03/29/2018,14:00,15.28,15.28,15.23,15.23,14,1928
04/02/2018,14:00,15.29,15.30,15.23,15.30,45,1925
04/03/2018,14:00,15.32,15.43,15.31,15.43,54,1936
04/04/2018,14:00,15.46,15.53,15.43,15.52,84,1967
04/05/2018,14:00,15.52,15.62,15.49,15.49,61,2003
04/06/2018,14:00,15.53,15.64,15.53,15.57,61,2003
04/09/2018,14:00,15.61,15.69,15.60,15.67,84,2038
04/10/2018,14:00,15.69,15.75,15.66,15.69,98,2028
04/11/2018,14:00,15.61,15.61,15.54,15.57,50,2042
04/12/2018,14:00,15.58,15.65,15.50,15.55,62,2070
04/13/2018,14:00,15.55,15.70,15.49,15.70,97,2070
04/16/2018,14:00,15.70,15.76,15.66,15.74,68,2085
04/17/2018,14:00,15.75,15.91,15.71,15.90,242,2171
04/18/2018,14:00,15.83,15.88,15.76,15.82,90,2207
04/19/2018,14:00,15.89,15.94,15.85,15.85,49,2238
04/20/2018,14:00,15.82,15.84,15.75,15.76,49,2238
04/23/2018,14:00,15.82,15.96,15.82,15.93,101,2245
04/24/2018,14:00,15.99,16.00,15.93,15.99,57,2264
04/25/2018,14:00,15.95,15.98,15.85,15.96,79,2267
04/26/2018,14:00,15.87,15.95,15.87,15.94,85,2312
04/27/2018,14:00,15.94,16.04,15.93,16.01,108,2350
04/30/2018,14:00,16.05,16.10,16.04,16.09,62,2379
05/01/2018,14:00,16.10,16.24,16.05,16.05,114,2459
05/02/2018,14:00,16.08,16.15,16.03,16.06,231,2554
05/03/2018,14:00,16.03,16.03,15.95,15.96,65,2702
05/04/2018,14:00,15.96,15.99,15.95,15.98,65,2702
05/07/2018,14:00,16.06,16.17,16.05,16.14,121,2782
05/08/2018,14:00,16.16,16.27,16.14,16.18,129,2792
05/09/2018,14:00,16.19,16.33,16.19,16.26,206,2886
05/10/2018,14:00,16.33,16.33,16.03,16.06,144,2946
05/11/2018,14:00,16.13,16.18,16.05,16.06,69,2960
05/14/2018,14:00,16.14,16.30,16.14,16.27,157,2995
05/15/2018,14:00,16.24,16.37,16.24,16.36,206,3064
05/16/2018,14:00,16.35,16.44,16.20,16.32,252,3079
05/17/2018,14:00,16.25,16.28,16.12,16.17,307,3195
05/18/2018,14:00,16.15,16.25,16.13,16.25,171,3229
05/21/2018,14:00,16.29,16.50,16.29,16.45,130,3264
05/22/2018,14:00,16.49,16.56,16.45,16.46,167,3274
05/23/2018,14:00,16.51,16.53,16.37,16.45,166,3318
05/24/2018,14:00,16.45,16.46,16.37,16.42,71,3342
05/25/2018,14:00,16.45,16.45,16.32,16.35,71,3342
05/29/2018,14:00,16.45,16.57,16.44,16.51,159,3368
05/30/2018,14:00,16.52,16.52,16.46,16.49,100,3391
05/31/2018,14:00,16.48,16.48,16.32,16.38,147,3401
06/01/2018,14:00,16.36,16.37,16.20,16.23,201,3447
06/04/2018,14:00,16.21,16.21,15.97,16.02,431,3517
06/05/2018,14:00,15.98,16.00,15.71,15.73,611,3626
06/06/2018,14:00,15.72,15.96,15.71,15.89,265,3643
06/07/2018,14:00,16.00,16.08,15.82,16.04,511,3696
06/08/2018,14:00,16.05,16.10,15.96,16.04,296,3840
06/11/2018,14:00,16.03,16.03,15.89,15.90,200,3858
06/12/2018,14:00,15.90,15.95,15.82,15.83,404,3952
06/13/2018,14:00,15.82,15.87,15.75,15.75,235,3911
06/14/2018,14:00,15.82,15.83,15.55,15.56,329,3950
06/15/2018,14:00,15.52,15.56,15.39,15.43,427,3868
06/18/2018,14:00,15.36,15.41,15.17,15.19,445,3803
06/19/2018,14:00,15.24,15.30,15.05,15.12,559,3698
06/20/2018,14:00,15.09,15.27,14.96,15.00,454,3673
06/21/2018,14:00,14.95,14.95,14.70,14.86,713,3739
06/22/2018,14:00,14.76,14.80,14.61,14.66,436,3706
06/25/2018,14:00,14.64,14.66,14.09,14.10,933,3839
06/26/2018,14:00,14.00,14.25,13.87,14.06,710,3970
06/27/2018,14:00,14.10,14.35,14.06,14.29,535,3949
06/28/2018,14:00,14.28,14.40,14.25,14.34,372,3995
06/29/2018,14:00,14.30,14.70,14.28,14.60,571,3906
07/02/2018,14:00,14.64,14.85,14.56,14.68,438,3892
07/03/2018,14:00,14.71,14.71,14.45,14.49,313,3890
07/05/2018,14:00,14.50,14.53,14.28,14.36,322,3861
07/06/2018,14:00,14.26,14.30,14.15,14.20,251,3867
07/09/2018,14:00,14.20,14.25,14.13,14.16,234,3864
07/10/2018,14:00,14.18,14.20,14.07,14.18,262,3868
07/11/2018,14:00,14.20,14.28,14.14,14.21,135,3806
07/12/2018,14:00,14.25,14.34,14.25,14.30,252,3757
07/13/2018,14:00,14.29,14.31,14.21,14.27,135,3743
07/16/2018,14:00,14.28,14.28,14.23,14.26,42,3700
07/17/2018,14:00,14.27,14.29,14.23,14.24,75,3700
07/18/2018,14:00,14.24,14.27,14.20,14.25,49,3713
07/19/2018,14:00,14.21,14.22,14.19,14.21,213,3711
07/20/2018,14:00,14.21,14.22,14.19,14.19,347,3644
07/23/2018,14:00,14.20,14.20,14.19,14.19,12,3670
07/24/2018,14:00,14.19,14.20,14.19,14.20,26,3671
07/25/2018,14:00,14.18,14.22,14.14,14.18,170,3633
07/26/2018,14:00,14.13,14.14,14.13,14.14,21,3640
07/27/2018,14:00,14.13,14.14,14.13,14.14,21,3640
07/30/2018,14:00,14.13,14.13,14.12,14.12,37,3644
07/31/2018,14:00,14.12,14.13,14.12,14.12,55,3625
