"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,97.3300,97.3400,97.2550,97.2700,315130,1358046
02/28/2018,14:00,97.2750,97.2950,97.2450,97.2900,307166,1391664
03/01/2018,14:00,97.2950,97.3900,97.2850,97.3850,317071,1377829
03/02/2018,14:00,97.3700,97.4050,97.3300,97.3450,317071,1377709
03/05/2018,14:00,97.3350,97.3900,97.3200,97.3300,255685,1360146
03/06/2018,14:00,97.3250,97.3400,97.3000,97.3100,229251,1372195
03/07/2018,14:00,97.3150,97.3600,97.2900,97.2950,253476,1381874
03/08/2018,14:00,97.2950,97.3100,97.2750,97.2850,346127,1386744
03/09/2018,14:00,97.2850,97.3000,97.2400,97.2600,369513,1400174
03/12/2018,14:00,97.2650,97.2650,97.2450,97.2600,228266,1401339
03/13/2018,14:00,97.2600,97.2800,97.2400,97.2550,310537,1412247
03/14/2018,14:00,97.2650,97.3000,97.2400,97.2800,412805,1424473
03/15/2018,14:00,97.2800,97.3000,97.2700,97.2750,257811,1448181
03/16/2018,14:00,97.2700,97.2850,97.2400,97.2450,257811,1448520
03/19/2018,14:00,97.2400,97.2700,97.2250,97.2550,423727,1490072
03/20/2018,14:00,97.2450,97.2500,97.2000,97.2150,353369,1520403
03/21/2018,14:00,97.2050,97.2500,97.1600,97.2100,621363,1509651
03/22/2018,14:00,97.2300,97.3000,97.2100,97.2650,508807,1541965
03/23/2018,14:00,97.2750,97.3200,97.2650,97.2900,404735,1538433
03/26/2018,14:00,97.3000,97.3100,97.2550,97.2750,240315,1536398
03/27/2018,14:00,97.2750,97.3650,97.2650,97.3450,392046,1537433
03/28/2018,14:00,97.3600,97.3900,97.3150,97.3350,486826,1522817
03/29/2018,14:00,97.3300,97.3400,97.3100,97.3250,217424,1522960
04/02/2018,14:00,97.3200,97.3700,97.3050,97.3550,165138,1528323
04/03/2018,14:00,97.3500,97.3550,97.3050,97.3100,227407,1523675
04/04/2018,14:00,97.3100,97.3350,97.2900,97.3050,229030,1524861
04/05/2018,14:00,97.2950,97.2950,97.2700,97.2750,372966,1563776
04/06/2018,14:00,97.2800,97.3350,97.2750,97.3250,372966,1564115
04/09/2018,14:00,97.3300,97.3350,97.3100,97.3200,172989,1562837
04/10/2018,14:00,97.3200,97.3250,97.2900,97.3000,214130,1572315
04/11/2018,14:00,97.3000,97.3300,97.2800,97.2900,282679,1575039
04/12/2018,14:00,97.2950,97.3000,97.2400,97.2450,281774,1555606
04/13/2018,14:00,97.2450,97.2700,97.2150,97.2200,338552,1507946
04/16/2018,14:00,97.2250,97.2250,97.1950,97.2150,333824,1486138
04/17/2018,14:00,97.2150,97.2250,97.2000,97.2200,185900,1499375
04/18/2018,14:00,97.2150,97.2200,97.1700,97.1800,267173,1480384
04/19/2018,14:00,97.1800,97.1950,97.1650,97.1750,201772,1471526
04/20/2018,14:00,97.1850,97.1900,97.1450,97.1550,201772,1471285
04/23/2018,14:00,97.1450,97.1500,97.1250,97.1450,215911,1458212
04/24/2018,14:00,97.1350,97.1600,97.1250,97.1550,271350,1451806
04/25/2018,14:00,97.1500,97.1500,97.1200,97.1300,249902,1431866
04/26/2018,14:00,97.1300,97.1600,97.1300,97.1500,185321,1425430
04/27/2018,14:00,97.1550,97.1750,97.1450,97.1600,211316,1420116
04/30/2018,14:00,97.1600,97.1600,97.1400,97.1500,140300,1429856
05/01/2018,14:00,97.1450,97.1500,97.1250,97.1250,163674,1436719
05/02/2018,14:00,97.1300,97.1400,97.1050,97.1300,278707,1414123
05/03/2018,14:00,97.1400,97.1700,97.1350,97.1550,243006,1418459
05/04/2018,14:00,97.1550,97.1800,97.1300,97.1350,243006,1404665
05/07/2018,14:00,97.1300,97.1450,97.1200,97.1350,84449,1404447
05/08/2018,14:00,97.1300,97.1400,97.1150,97.1300,201279,1401573
05/09/2018,14:00,97.1250,97.1250,97.1050,97.1100,164130,1407491
05/10/2018,14:00,97.1050,97.1550,97.1000,97.1050,185359,1408271
05/11/2018,14:00,97.1150,97.1350,97.1100,97.1300,297572,1476562
05/14/2018,14:00,97.1300,97.1550,97.1250,97.1350,185598,1476720
05/15/2018,14:00,97.1250,97.1400,97.0700,97.0750,386120,1409184
05/16/2018,14:00,97.0850,97.1050,97.0500,97.0650,282280,1386718
05/17/2018,14:00,97.0550,97.0750,97.0400,97.0650,181802,1379293
05/18/2018,14:00,97.0650,97.1100,97.0550,97.0950,186927,1384896
05/21/2018,14:00,97.0900,97.0950,97.0700,97.0850,143173,1393886
05/22/2018,14:00,97.0800,97.0900,97.0750,97.0850,124619,1395861
05/23/2018,14:00,97.0850,97.1550,97.0800,97.1450,311214,1435233
05/24/2018,14:00,97.1550,97.2000,97.1450,97.1700,237592,1463199
05/25/2018,14:00,97.1700,97.2250,97.1600,97.2150,237592,1463014
05/29/2018,14:00,97.2400,97.4150,97.2250,97.4100,909826,1471718
05/30/2018,14:00,97.3850,97.4300,97.2750,97.2900,611256,1435901
05/31/2018,14:00,97.2800,97.2950,97.2350,97.2700,376161,1435403
06/01/2018,14:00,97.2600,97.2750,97.1800,97.2000,374996,1409863
06/04/2018,14:00,97.1900,97.2000,97.1350,97.1450,213616,1400274
06/05/2018,14:00,97.1400,97.1900,97.1400,97.1650,268186,1372000
06/06/2018,14:00,97.1550,97.1600,97.1150,97.1250,256283,1359132
06/07/2018,14:00,97.1250,97.2100,97.1050,97.1400,376525,1335193
06/08/2018,14:00,97.1500,97.1950,97.1300,97.1450,235109,1337607
06/11/2018,14:00,97.1400,97.1400,97.1050,97.1150,160121,1361241
06/12/2018,14:00,97.1200,97.1250,97.0950,97.1100,227843,1375344
06/13/2018,14:00,97.1000,97.1100,97.0400,97.0650,436196,1418642
06/14/2018,14:00,97.0650,97.0900,97.0550,97.0650,338521,1426746
06/15/2018,14:00,97.0700,97.1000,97.0700,97.0900,316715,1293007
06/18/2018,14:00,97.0900,97.1050,97.0850,97.0950,143808,1298749
06/19/2018,14:00,97.0950,97.1700,97.0950,97.1150,269237,1295954
06/20/2018,14:00,97.1150,97.1350,97.0900,97.1000,190299,1287478
06/21/2018,14:00,97.0900,97.1200,97.0850,97.1150,174186,1285792
06/22/2018,14:00,97.1100,97.1200,97.0900,97.1100,142436,1280350
06/25/2018,14:00,97.1150,97.1400,97.1150,97.1350,159235,1285802
06/26/2018,14:00,97.1250,97.1450,97.1150,97.1350,117980,1281982
06/27/2018,14:00,97.1350,97.1700,97.1300,97.1650,264321,1294898
06/28/2018,14:00,97.1700,97.1750,97.1450,97.1450,142152,1281632
06/29/2018,14:00,97.1600,97.1600,97.1350,97.1450,166327,1301127
07/02/2018,14:00,97.1350,97.1700,97.1200,97.1250,141235,1306175
07/03/2018,14:00,97.1200,97.1500,97.1100,97.1450,131766,1304913
07/05/2018,14:00,97.1300,97.1400,97.1150,97.1200,109245,1304871
07/06/2018,14:00,97.1300,97.1550,97.1150,97.1450,114778,1304323
