"Date","Time","Open","High","Low","Close","Vol","OI"
09/13/2018,14:00,2938.50,2938.50,2938.50,2938.50,0,0
09/14/2018,14:00,2940.00,2940.00,2940.00,2940.00,0,0
09/17/2018,14:00,2924.75,2924.75,2924.75,2924.75,0,0
09/18/2018,14:00,2940.25,2940.25,2940.25,2940.25,0,0
09/19/2018,14:00,2941.50,2941.50,2941.50,2941.50,0,0
09/20/2018,14:00,2969.00,2969.00,2969.00,2969.00,0,0
09/21/2018,14:00,2968.00,2968.00,2968.00,2968.00,0,0
09/24/2018,14:00,2959.50,2959.50,2959.50,2959.50,0,0
09/25/2018,14:00,2947.00,2958.00,2947.00,2958.00,10,5
09/26/2018,14:00,2948.00,2948.00,2948.00,2948.00,0,5
09/27/2018,14:00,2956.50,2956.50,2956.50,2956.50,0,5
09/28/2018,14:00,2956.50,2956.50,2956.50,2956.50,0,5
10/01/2018,14:00,2967.50,2967.50,2967.50,2967.50,0,5
10/02/2018,14:00,2965.75,2965.75,2965.75,2965.75,0,5
10/03/2018,14:00,2969.00,2969.00,2969.00,2969.00,0,5
10/04/2018,14:00,2944.50,2944.50,2944.50,2944.50,0,5
10/05/2018,14:00,2931.25,2931.25,2931.25,2931.25,0,5
10/08/2018,14:00,2930.75,2930.75,2930.75,2930.75,0,5
10/09/2018,14:00,2925.75,2925.75,2925.75,2925.75,0,5
10/10/2018,14:00,2817.50,2817.50,2817.50,2817.50,0,5
10/11/2018,14:00,2781.75,2781.75,2781.75,2781.75,0,5
10/12/2018,14:00,2807.50,2807.50,2807.50,2807.50,0,5
10/15/2018,14:00,2788.50,2788.50,2788.50,2788.50,0,5
10/16/2018,14:00,2857.00,2857.00,2857.00,2857.00,0,5
10/17/2018,14:00,2855.50,2855.50,2855.50,2855.50,0,5
10/18/2018,14:00,2811.50,2811.50,2811.50,2811.50,0,5
10/19/2018,14:00,2807.00,2807.00,2807.00,2807.00,0,5
10/22/2018,14:00,2796.00,2796.00,2796.00,2796.00,0,5
10/23/2018,14:00,2781.00,2781.00,2781.00,2781.00,0,5
10/24/2018,14:00,2697.50,2697.50,2697.50,2697.50,0,5
10/25/2018,14:00,2721.75,2721.75,2721.75,2721.75,0,5
10/26/2018,14:00,2707.50,2707.50,2707.50,2707.50,1,5
10/29/2018,14:00,2681.50,2681.50,2681.50,2681.50,0,5
10/30/2018,14:00,2722.75,2722.75,2722.75,2722.75,0,5
10/31/2018,14:00,2748.50,2748.50,2748.50,2748.50,0,5
11/01/2018,14:00,2775.25,2775.25,2775.25,2775.25,0,5
11/02/2018,14:00,2760.50,2760.50,2760.50,2760.50,0,5
11/05/2018,14:00,2772.50,2772.50,2772.50,2772.50,0,5
11/06/2018,14:00,2793.00,2793.00,2793.00,2793.00,0,5
11/07/2018,14:00,2850.25,2850.25,2850.25,2850.25,0,5
11/08/2018,14:00,2841.25,2841.25,2841.25,2841.25,0,5
11/09/2018,14:00,2811.50,2811.50,2811.50,2811.50,0,5
11/12/2018,14:00,2759.50,2759.50,2759.50,2759.50,0,5
11/13/2018,14:00,2759.25,2759.25,2759.25,2759.25,0,5
11/14/2018,14:00,2727.75,2727.75,2727.75,2727.75,0,5
11/15/2018,14:00,2763.25,2763.25,2763.25,2763.25,0,5
11/16/2018,14:00,2772.75,2772.75,2772.75,2772.75,0,5
11/19/2018,14:00,2726.00,2726.00,2726.00,2726.00,1,5
11/20/2018,14:00,2669.50,2669.50,2669.50,2669.50,0,5
11/21/2018,14:00,2678.75,2678.75,2678.75,2678.75,0,5
11/23/2018,14:00,2659.25,2659.25,2659.25,2659.25,0,5
11/26/2018,14:00,2699.50,2699.50,2699.50,2699.50,0,5
11/27/2018,14:00,2699.50,2712.50,2699.50,2712.50,3,5
11/28/2018,14:00,2771.75,2771.75,2771.75,2771.75,0,5
11/29/2018,14:00,2766.50,2774.50,2766.50,2774.50,1,6
11/30/2018,14:00,2790.75,2790.75,2790.75,2790.75,0,6
12/03/2018,14:00,2820.50,2820.60,2820.50,2820.50,0,6
12/04/2018,14:00,2798.00,2798.00,2730.00,2730.00,2,806
12/06/2018,14:00,2720.75,2720.75,2720.75,2720.75,0,6
12/07/2018,14:00,2664.75,2664.75,2664.75,2664.75,0,6
12/10/2018,14:00,2647.00,2672.75,2647.00,2672.75,1,6
12/11/2018,14:00,2668.50,2668.50,2668.50,2668.50,0,6
12/12/2018,14:00,2680.75,2680.75,2680.75,2680.75,0,6
12/13/2018,14:00,2680.00,2680.00,2674.00,2674.00,2,8
12/14/2018,14:00,2628.50,2628.50,2628.50,2628.50,0,8
12/17/2018,14:00,2629.00,2629.00,2579.50,2579.50,1,9
12/18/2018,14:00,2563.00,2563.00,2563.00,2563.00,0,9
12/19/2018,14:00,2540.00,2540.00,2524.75,2524.75,3,9
12/20/2018,14:00,2506.50,2506.50,2506.50,2506.50,0,9
12/21/2018,14:00,2509.00,2509.00,2427.25,2427.25,1,10
12/24/2018,14:00,2352.75,2352.75,2352.75,2352.75,0,10
12/26/2018,14:00,2484.50,2484.50,2484.50,2484.50,0,10
12/27/2018,14:00,2438.50,2506.25,2424.25,2506.25,4,13
12/28/2018,14:00,2499.50,2499.50,2495.00,2498.75,4,13
12/31/2018,14:00,2514.50,2514.50,2514.50,2514.50,0,13
01/02/2019,14:00,2525.00,2525.00,2523.75,2523.75,1,14
01/03/2019,14:00,2480.25,2480.25,2459.00,2459.50,4,17
01/04/2019,14:00,2543.50,2543.50,2543.50,2543.50,0,17
01/07/2019,14:00,2554.75,2575.00,2535.75,2562.75,12,21
01/08/2019,14:00,2584.50,2584.50,2584.50,2584.50,3,19
01/09/2019,14:00,2594.25,2594.25,2594.25,2594.25,1,19
01/10/2019,14:00,2607.00,2607.00,2607.00,2607.00,0,19
01/11/2019,14:00,2603.25,2609.00,2603.25,2608.75,53,67
01/14/2019,14:00,2594.75,2594.75,2594.75,2594.75,1,66
01/15/2019,14:00,2617.50,2617.50,2617.50,2617.50,0,66
01/16/2019,14:00,2628.00,2628.00,2626.75,2626.75,1,66
01/17/2019,14:00,2642.50,2650.50,2642.50,2650.50,180,317
01/18/2019,14:00,2678.00,2688.50,2678.00,2688.50,7,322
01/22/2019,14:00,2660.00,2660.00,2647.00,2647.00,7,322
01/23/2019,14:00,2665.00,2665.00,2654.25,2654.25,1,323
01/24/2019,14:00,2646.00,2657.00,2646.00,2651.00,5,326
01/25/2019,14:00,2658.75,2683.50,2658.75,2680.50,5,326
01/28/2019,14:00,2648.00,2658.50,2648.00,2658.50,4,326
01/29/2019,14:00,2657.50,2657.50,2657.50,2657.50,1,326
01/30/2019,14:00,2699.25,2699.25,2699.25,2699.25,0,326
01/31/2019,14:00,2699.25,2728.00,2699.25,2722.50,5,328
02/01/2019,14:00,2720.00,2722.00,2720.00,2722.00,1,329
02/04/2019,14:00,2736.00,2738.50,2736.00,2738.50,1,330
02/05/2019,14:00,2750.00,2750.00,2749.75,2749.75,1,330
02/06/2019,14:00,2746.00,2746.00,2745.75,2745.75,25,353
02/07/2019,14:00,2720.50,2720.50,2720.50,2720.50,1,353
02/08/2019,14:00,2705.00,2720.25,2705.00,2720.25,2,354
02/11/2019,14:00,2722.75,2722.75,2722.75,2722.75,0,460
02/12/2019,14:00,2740.00,2759.25,2740.00,2759.25,2,462
02/13/2019,14:00,2764.50,2764.50,2764.00,2764.00,1,461
02/14/2019,14:00,2758.00,2758.00,2758.00,2758.00,1,462
02/15/2019,14:00,2773.25,2791.50,2773.25,2791.50,1,462
02/19/2019,14:00,2798.00,2799.75,2792.50,2792.50,72,468
