"Date","Time","Open","High","Low","Close","Vol","OI"
06/04/2019,14:00,0.93870,0.93870,0.93870,0.93870,0,0
06/05/2019,14:00,0.93530,0.93530,0.93530,0.93530,0,0
06/06/2019,14:00,0.93490,0.93490,0.93490,0.93490,0,0
06/07/2019,14:00,0.93710,0.93710,0.93710,0.93710,0,0
06/10/2019,14:00,0.93480,0.93480,0.93480,0.93480,0,0
06/11/2019,14:00,0.93430,0.93430,0.93430,0.93430,0,0
06/12/2019,14:00,0.93400,0.93400,0.93400,0.93400,0,0
06/13/2019,14:00,0.93510,0.93510,0.93510,0.93510,0,0
06/14/2019,14:00,0.93320,0.93320,0.93320,0.93320,0,0
06/17/2019,14:00,0.93310,0.93310,0.93310,0.93310,0,0
06/18/2019,14:00,0.93420,0.93420,0.93420,0.93420,0,0
06/19/2019,14:00,0.93810,0.93810,0.93810,0.93810,0,0
06/20/2019,14:00,0.94370,0.94370,0.94370,0.94370,0,0
06/21/2019,14:00,0.94240,0.94240,0.94240,0.94240,0,0
06/24/2019,14:00,0.94300,0.94300,0.94300,0.94300,0,0
06/25/2019,14:00,0.94460,0.94460,0.94460,0.94460,0,0
06/26/2019,14:00,0.93940,0.93940,0.93860,0.93860,1,1
06/27/2019,14:00,0.93910,0.93910,0.93910,0.93910,0,1
06/28/2019,14:00,0.93930,0.93930,0.93880,0.93880,1,1
07/01/2019,14:00,0.93290,0.93290,0.93290,0.93290,0,1
07/02/2019,14:00,0.93830,0.93830,0.93830,0.93830,0,1
07/03/2019,14:00,0.94030,0.94030,0.93820,0.93820,2,1
07/05/2019,14:00,0.93180,0.93180,0.93180,0.93180,0,1
07/08/2019,14:00,0.93040,0.93040,0.93040,0.93040,0,1
07/09/2019,14:00,0.92920,0.92920,0.92920,0.92920,0,1
07/10/2019,14:00,0.93290,0.93290,0.93290,0.93290,0,1
07/11/2019,14:00,0.93230,0.93230,0.93230,0.93230,0,1
07/12/2019,14:00,0.93780,0.93780,0.93780,0.93780,0,1
07/15/2019,14:00,0.93700,0.93700,0.93700,0.93700,0,1
07/16/2019,14:00,0.93320,0.93320,0.93320,0.93320,0,1
07/17/2019,14:00,0.93590,0.93590,0.93530,0.93530,10,11
07/18/2019,14:00,0.94020,0.94020,0.94020,0.94020,2,12
07/19/2019,14:00,0.94090,0.94090,0.93760,0.93760,2,12
07/22/2019,14:00,0.93680,0.93680,0.93680,0.93680,0,12
07/23/2019,14:00,0.93330,0.93330,0.93330,0.93330,0,12
07/24/2019,14:00,0.93370,0.93370,0.93370,0.93370,0,12
07/25/2019,14:00,0.92900,0.92900,0.92900,0.92900,0,12
07/26/2019,14:00,0.92930,0.92930,0.92930,0.92930,0,12
07/29/2019,14:00,0.92910,0.92910,0.92850,0.92850,1,11
07/30/2019,14:00,0.93020,0.93020,0.93020,0.93020,0,11
07/31/2019,14:00,0.92850,0.92850,0.92850,0.92850,0,11
08/01/2019,14:00,0.92380,0.94030,0.92380,0.94030,4,12
08/02/2019,14:00,0.93940,0.94720,0.93940,0.94720,4,12
08/05/2019,14:00,0.95200,0.95200,0.95120,0.95170,3,12
08/06/2019,14:00,0.94550,0.94780,0.94550,0.94720,2,12
08/07/2019,14:00,0.95150,0.95150,0.95060,0.95060,1,13
08/08/2019,14:00,0.95190,0.95190,0.95190,0.95190,0,13
