"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,10:30,140.65,140.65,140.65,140.65,1,977
03/01/2018,10:30,140.80,142.20,140.80,142.20,71,980
03/02/2018,10:30,141.20,141.25,141.20,141.25,54,975
03/05/2018,10:30,139.90,140.50,139.90,140.50,3,975
03/06/2018,10:30,140.55,140.60,140.55,140.60,14,966
03/07/2018,10:30,140.20,140.20,140.20,140.20,0,966
03/08/2018,10:30,140.55,140.55,139.65,140.00,148,1043
03/09/2018,10:30,140.00,140.35,139.65,139.65,30,1031
03/12/2018,10:30,139.00,139.45,138.95,139.25,13,1044
03/13/2018,10:30,141.25,141.65,141.25,141.25,44,1020
03/14/2018,10:30,140.90,141.00,140.90,141.00,13,1024
03/15/2018,10:30,140.85,141.00,139.10,139.30,29,1022
03/16/2018,10:30,139.80,139.80,138.20,138.35,29,1027
03/19/2018,10:30,138.75,139.80,138.75,139.25,40,1009
03/20/2018,10:30,139.20,139.45,139.05,139.05,23,1005
03/21/2018,10:30,140.10,140.35,138.95,138.95,23,990
03/22/2018,10:30,138.90,139.00,138.45,139.00,12,991
03/23/2018,10:30,138.70,138.80,137.35,137.75,46,978
03/26/2018,10:30,138.30,138.85,138.20,138.50,12,978
03/27/2018,10:30,138.80,139.35,138.75,139.10,37,978
03/28/2018,10:30,138.65,138.85,138.00,138.00,14,976
03/29/2018,10:30,138.45,138.45,138.35,138.35,5,971
04/02/2018,10:30,136.80,136.80,136.80,136.80,45,1015
04/03/2018,10:30,137.15,137.40,136.90,137.15,44,1009
04/04/2018,10:30,136.90,137.70,136.80,137.70,90,1022
04/05/2018,10:30,138.30,138.30,138.30,138.30,0,1022
04/06/2018,10:30,138.20,138.20,137.60,137.80,37,1036
04/09/2018,10:30,138.80,139.25,138.25,138.70,207,1080
04/10/2018,10:30,138.15,138.15,137.25,137.80,74,1087
04/11/2018,10:30,138.10,138.30,137.75,138.30,28,1099
04/12/2018,10:30,138.00,138.00,137.25,137.75,76,1152
