"Date","Time","Open","High","Low","Close","Vol","OI"
09/14/2018,14:00,360.00,360.00,360.00,360.00,0,0
09/17/2018,14:00,358.50,358.50,358.50,358.50,0,0
09/18/2018,14:00,354.70,354.70,354.70,354.70,0,0
09/19/2018,14:00,353.80,353.80,353.80,353.80,0,0
09/20/2018,14:00,359.70,359.70,359.70,359.70,0,0
09/21/2018,14:00,355.80,355.80,355.80,355.80,1,1
09/24/2018,14:00,358.40,358.40,358.40,358.40,0,1
09/25/2018,14:00,358.20,358.20,358.20,358.20,0,1
09/26/2018,14:00,370.00,370.00,370.00,370.00,0,1
09/27/2018,14:00,375.00,376.00,375.00,376.00,3,3
09/28/2018,14:00,375.50,375.50,375.50,375.50,0,3
10/01/2018,14:00,376.80,376.80,376.80,376.80,0,3
10/02/2018,14:00,384.50,384.50,384.50,384.50,0,3
10/03/2018,14:00,389.40,389.40,389.40,389.40,0,3
10/04/2018,14:00,384.30,384.30,384.30,384.30,0,3
10/05/2018,14:00,384.80,384.80,384.80,384.80,2,3
10/08/2018,14:00,384.70,384.70,384.70,384.70,1,2
10/09/2018,14:00,382.20,382.20,382.20,382.20,0,2
10/10/2018,14:00,378.20,378.20,378.20,378.20,0,2
10/11/2018,14:00,363.20,363.20,363.20,363.20,0,2
10/12/2018,14:00,356.20,356.20,356.20,356.20,0,2
10/15/2018,14:00,358.00,358.00,358.00,358.00,0,2
10/16/2018,14:00,367.50,367.50,367.50,367.50,0,2
10/17/2018,14:00,363.90,363.90,363.90,363.90,0,2
10/18/2018,14:00,358.20,358.20,358.20,358.20,0,2
10/19/2018,14:00,358.00,358.00,358.00,358.00,0,2
10/22/2018,14:00,347.10,347.10,347.10,347.10,0,2
10/23/2018,14:00,343.00,343.00,343.00,343.00,0,2
10/24/2018,14:00,336.10,336.10,336.10,336.10,0,2
10/25/2018,14:00,335.80,335.80,335.80,335.80,0,2
10/26/2018,14:00,337.70,337.70,337.70,337.70,0,2
10/29/2018,14:00,335.70,335.70,335.70,335.70,0,2
10/30/2018,14:00,334.70,334.70,334.70,334.70,0,2
10/31/2018,14:00,337.60,337.60,337.60,337.60,0,2
11/01/2018,14:00,351.70,351.70,351.70,351.70,0,2
11/02/2018,14:00,366.70,366.70,366.70,366.70,0,2
11/05/2018,14:00,372.80,372.80,372.80,372.80,0,2
11/06/2018,14:00,373.50,373.50,373.50,373.50,1,1
11/07/2018,14:00,369.50,369.50,369.50,369.50,0,1
11/08/2018,14:00,377.00,377.00,377.00,377.00,0,1
11/09/2018,14:00,382.80,382.80,382.80,382.80,0,1
11/12/2018,14:00,377.80,377.80,377.80,377.80,0,1
11/13/2018,14:00,367.80,367.80,367.80,367.80,0,1
11/14/2018,14:00,382.80,382.80,382.80,382.80,0,1
11/15/2018,14:00,392.80,392.80,392.80,392.80,0,1
11/16/2018,14:00,385.80,385.80,385.80,385.80,0,1
11/19/2018,14:00,383.80,383.80,383.80,383.80,0,1
11/20/2018,14:00,379.80,379.80,379.80,379.80,0,1
11/21/2018,14:00,389.20,389.20,389.20,389.20,0,1
11/23/2018,14:00,386.80,386.80,386.80,386.80,0,1
11/26/2018,14:00,384.40,384.40,384.40,384.40,0,1
11/27/2018,14:00,376.20,376.20,376.20,376.20,0,1
11/28/2018,14:00,365.80,365.80,365.80,365.80,0,1
11/29/2018,14:00,359.10,359.10,359.10,359.10,0,1
11/30/2018,14:00,351.80,351.80,351.80,351.80,0,1
12/03/2018,14:00,361.40,361.40,361.40,361.40,0,1
12/04/2018,14:00,355.50,355.50,355.50,355.50,0,1
12/06/2018,14:00,344.10,344.10,344.10,344.10,0,1
12/07/2018,14:00,355.70,355.70,355.70,355.70,0,1
12/10/2018,14:00,341.80,341.80,341.80,341.80,0,1
12/11/2018,14:00,340.00,340.00,340.00,340.00,0,1
12/12/2018,14:00,344.80,344.80,344.80,344.80,0,1
12/13/2018,14:00,344.80,344.80,344.80,344.80,0,1
12/14/2018,14:00,341.60,341.60,341.60,341.60,0,1
12/17/2018,14:00,340.10,340.10,340.10,340.10,0,1
12/18/2018,14:00,342.80,342.80,342.80,342.80,0,1
12/19/2018,14:00,352.30,352.30,352.30,352.30,0,1
12/20/2018,14:00,350.60,350.60,350.60,350.60,0,1
12/21/2018,14:00,354.20,354.20,354.20,354.20,0,1
12/24/2018,14:00,351.30,351.30,351.30,351.30,0,1
12/26/2018,14:00,348.90,348.90,348.90,348.90,0,1
12/27/2018,14:00,349.90,349.90,349.90,349.90,0,1
12/28/2018,14:00,346.70,346.70,346.70,346.70,0,1
12/31/2018,14:00,347.20,347.20,347.20,347.20,0,1
01/02/2019,14:00,346.10,346.10,346.10,346.10,0,1
01/03/2019,14:00,340.90,340.90,340.90,340.90,0,1
01/04/2019,14:00,342.00,342.00,342.00,342.00,0,1
01/07/2019,14:00,344.80,344.80,344.80,344.80,0,1
01/08/2019,14:00,354.90,354.90,354.90,354.90,0,1
01/09/2019,14:00,351.70,351.70,351.70,351.70,0,1
01/10/2019,14:00,362.50,362.50,362.50,362.50,0,1
01/11/2019,14:00,357.80,357.80,357.80,357.80,0,1
01/14/2019,14:00,352.90,352.90,352.90,352.90,0,1
01/15/2019,14:00,364.80,364.80,364.80,364.80,0,1
01/16/2019,14:00,373.00,373.00,373.00,373.00,7,8
01/17/2019,14:00,372.30,372.30,372.30,372.30,0,8
01/18/2019,14:00,368.20,368.20,368.20,368.20,0,8
01/22/2019,14:00,374.20,374.20,374.20,374.20,0,8
01/23/2019,14:00,378.80,378.80,378.80,378.80,0,8
01/24/2019,14:00,390.80,390.80,390.80,390.80,0,8
01/25/2019,14:00,385.20,385.20,385.20,385.20,0,8
01/28/2019,14:00,387.80,387.80,387.80,387.80,0,8
01/29/2019,14:00,392.20,392.20,392.20,392.20,1,9
01/30/2019,14:00,399.70,400.40,399.70,400.40,2,9
01/31/2019,14:00,400.00,400.00,399.50,399.50,2,11
02/01/2019,14:00,393.70,393.70,393.70,393.70,0,11
02/04/2019,14:00,395.40,395.40,395.40,395.40,0,11
02/05/2019,14:00,399.70,402.70,399.70,402.70,4,12
02/06/2019,14:00,402.40,402.40,402.40,402.40,0,12
02/07/2019,14:00,387.80,387.80,387.80,387.80,0,12
02/08/2019,14:00,384.20,384.20,384.20,384.20,0,12
02/11/2019,14:00,370.70,370.70,370.70,370.70,0,12
02/12/2019,14:00,373.10,373.10,373.10,373.10,0,12
02/13/2019,14:00,387.90,387.90,387.90,387.90,0,12
02/14/2019,14:00,395.70,395.70,395.70,395.70,10,16
02/15/2019,14:00,390.00,390.00,386.20,386.20,10,16
02/19/2019,14:00,377.50,377.50,377.50,377.50,0,16
02/20/2019,14:00,370.30,370.30,370.30,370.30,0,16
02/21/2019,14:00,375.00,375.00,375.00,375.00,0,16
02/22/2019,14:00,377.50,377.50,377.50,377.50,0,16
