"Date","Time","Open","High","Low","Close","Vol","OI"
10/31/2018,11:05,118.750,118.750,118.750,118.750,0,0
11/01/2018,11:05,118.900,119.450,118.900,119.325,11,9
11/02/2018,11:05,119.850,120.000,119.850,120.000,3,12
11/05/2018,11:05,119.450,119.800,119.375,119.375,33,32
11/06/2018,11:05,119.250,119.250,119.250,119.250,4,32
11/07/2018,11:05,118.875,118.875,118.875,118.875,0,32
11/08/2018,11:05,118.500,118.850,118.500,118.850,18,50
11/09/2018,11:05,118.750,118.750,118.500,118.500,18,50
11/12/2018,11:05,119.000,119.000,119.000,119.000,3,50
11/13/2018,11:05,118.500,119.000,118.500,119.000,20,54
11/14/2018,11:05,119.200,119.200,118.900,118.900,5,59
11/15/2018,11:05,118.550,118.750,118.325,118.700,12,70
11/16/2018,11:05,118.500,119.050,118.500,119.000,25,92
11/19/2018,11:05,118.650,118.650,118.650,118.650,0,92
11/20/2018,11:05,118.775,118.775,118.775,118.775,0,92
11/21/2018,11:05,119.250,119.500,119.250,119.500,7,105
11/23/2018,11:05,119.600,119.600,119.525,119.575,7,105
11/26/2018,11:05,119.000,119.600,119.000,119.600,6,109
11/27/2018,11:05,119.500,119.600,119.500,119.600,2,110
11/28/2018,11:05,119.675,119.750,119.625,119.625,7,112
11/29/2018,11:05,119.325,119.325,118.700,118.700,2,117
11/30/2018,11:05,119.000,119.000,118.700,118.700,2,117
12/03/2018,11:05,118.075,118.075,118.000,118.000,34,128
12/04/2018,11:05,117.600,118.100,117.500,117.850,31,137
12/06/2018,11:05,118.200,118.200,118.150,118.150,24,156
12/07/2018,11:05,117.750,118.125,117.275,118.050,24,156
12/10/2018,11:05,117.975,117.975,117.600,117.775,48,182
12/11/2018,11:05,117.800,118.375,117.800,118.375,19,194
12/12/2018,11:05,118.400,118.700,118.400,118.700,22,210
12/13/2018,11:05,118.700,118.825,118.625,118.750,27,232
12/14/2018,11:05,118.775,118.900,118.275,118.500,8,234
12/17/2018,11:05,117.600,117.850,117.500,117.625,42,265
12/18/2018,11:05,117.850,118.400,117.850,118.150,64,310
12/19/2018,11:05,118.400,118.500,118.300,118.400,20,318
12/20/2018,11:05,118.400,118.400,117.725,118.125,161,423
12/21/2018,11:05,118.300,118.300,117.450,117.500,77,464
12/24/2018,11:05,117.500,117.800,117.325,117.675,68,509
12/26/2018,11:05,117.750,117.750,117.750,117.750,11,509
12/27/2018,11:05,117.825,118.550,117.800,118.325,92,598
12/28/2018,11:05,118.000,118.250,117.725,118.100,92,598
12/31/2018,11:05,118.100,118.100,118.025,118.050,7,599
01/02/2019,11:05,117.850,118.175,117.750,118.000,88,658
01/03/2019,11:05,118.075,118.075,117.400,117.875,51,692
01/04/2019,11:05,117.450,117.450,117.100,117.200,73,723
01/07/2019,11:05,117.350,118.000,117.350,117.825,66,740
01/08/2019,11:05,118.000,118.400,118.000,118.400,52,759
01/09/2019,11:05,118.600,118.825,118.500,118.725,43,778
01/10/2019,11:05,118.975,119.050,118.900,118.900,139,860
01/11/2019,11:05,118.900,119.375,118.750,119.000,96,888
01/14/2019,11:05,118.600,118.950,118.600,118.825,30,892
01/15/2019,11:05,118.700,119.000,118.525,118.975,189,983
01/16/2019,11:05,118.525,118.775,118.150,118.750,60,985
01/17/2019,11:05,118.350,118.500,118.100,118.225,103,1028
01/18/2019,11:05,118.175,118.750,118.175,118.750,39,1044
01/22/2019,11:05,118.400,118.400,118.125,118.125,29,1051
01/23/2019,11:05,118.700,118.750,118.700,118.725,19,1056
01/24/2019,11:05,118.600,119.000,118.600,119.000,72,1094
01/25/2019,11:05,118.475,118.750,118.400,118.700,72,1093
01/28/2019,11:05,118.675,119.000,118.675,119.000,28,1110
01/29/2019,11:05,119.000,119.150,119.000,119.100,21,1123
01/30/2019,11:05,119.000,119.175,119.000,119.175,23,1136
01/31/2019,11:05,118.600,118.600,118.025,118.150,37,1139
02/01/2019,11:05,118.000,118.275,117.750,118.250,89,1186
02/04/2019,11:05,118.100,119.175,118.000,118.875,111,1210
02/05/2019,11:05,118.775,119.075,118.725,119.075,39,1214
02/06/2019,11:05,118.825,119.125,118.825,119.125,8,1213
02/07/2019,11:05,119.025,119.450,119.025,119.350,21,1212
02/08/2019,11:05,119.425,119.750,119.425,119.700,189,1322
02/11/2019,11:05,119.750,120.275,119.650,120.050,114,1402
02/12/2019,11:05,120.050,120.425,119.950,120.275,69,1410
