"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:05,115.600,115.650,114.525,115.325,5286,28899
03/02/2018,11:05,115.075,115.550,114.175,114.650,5286,28888
03/05/2018,11:05,114.625,115.800,114.125,115.725,3834,29654
03/06/2018,11:05,115.800,116.475,114.650,115.050,6148,29721
03/07/2018,11:05,115.050,115.525,114.600,115.125,4041,30076
03/08/2018,11:05,115.150,115.150,113.000,114.175,7410,30540
03/09/2018,11:05,114.250,114.850,113.450,114.400,5879,31383
03/12/2018,11:05,114.500,114.575,113.675,114.050,6930,32283
03/13/2018,11:05,114.100,114.175,112.900,113.700,4883,33025
03/14/2018,11:05,114.225,114.650,113.300,113.700,5882,34129
03/15/2018,11:05,113.700,113.975,112.000,112.600,5800,36320
03/16/2018,11:05,112.600,112.600,111.550,111.900,5800,36307
03/19/2018,11:05,112.100,112.150,109.975,110.275,7953,37928
03/20/2018,11:05,110.300,110.325,109.050,109.450,8575,39223
03/21/2018,11:05,109.525,109.625,108.100,108.625,9714,40523
03/22/2018,11:05,108.625,109.975,108.425,109.900,7516,41944
03/23/2018,11:05,109.900,109.900,108.150,108.925,7382,42143
03/26/2018,11:05,108.925,109.525,107.425,107.575,5327,43019
03/27/2018,11:05,107.525,108.550,107.350,107.525,7529,44008
03/28/2018,11:05,107.525,108.775,107.450,108.300,6428,44842
03/29/2018,11:05,108.475,109.025,105.300,105.425,8155,45433
04/02/2018,11:05,105.475,106.950,104.700,105.225,7011,45522
04/03/2018,11:05,105.200,105.975,104.250,104.650,9051,46327
04/04/2018,11:05,104.000,107.075,102.425,106.800,14471,46797
04/05/2018,11:05,107.400,108.800,106.950,108.625,8256,47842
04/06/2018,11:05,107.900,108.450,106.300,106.700,8256,47841
04/09/2018,11:05,107.250,108.475,106.375,106.725,6668,48070
04/10/2018,11:05,107.200,108.025,105.900,106.450,8022,48586
04/11/2018,11:05,106.850,107.575,106.100,106.600,7459,48503
04/12/2018,11:05,107.100,109.025,107.025,108.525,8412,49417
04/13/2018,11:05,108.800,109.225,108.125,108.725,5583,49535
04/16/2018,11:05,109.350,109.975,108.375,108.600,6808,49943
04/17/2018,11:05,108.600,109.475,108.100,108.800,6792,50726
04/18/2018,11:05,109.050,109.500,109.000,109.475,5025,51250
04/19/2018,11:05,109.275,109.400,107.250,107.650,6226,52146
04/20/2018,11:05,107.825,108.325,106.325,108.150,6226,52031
04/23/2018,11:05,108.500,109.275,108.425,109.100,5968,52946
04/24/2018,11:05,109.400,110.050,108.425,108.650,7255,54081
04/25/2018,11:05,108.500,109.250,108.250,109.125,5367,54814
04/26/2018,11:05,109.050,109.300,107.850,107.925,6664,55152
04/27/2018,11:05,107.975,109.550,107.450,109.400,8663,55850
04/30/2018,11:05,109.750,109.825,107.200,107.450,9815,55857
05/01/2018,11:05,107.675,107.925,106.250,107.075,12922,57080
05/02/2018,11:05,107.325,108.400,107.025,107.800,10244,57783
05/03/2018,11:05,107.975,109.450,107.375,108.975,5370,58983
05/04/2018,11:05,109.200,109.275,108.275,108.450,5370,58948
05/07/2018,11:05,108.450,108.450,107.025,107.100,8257,59645
05/08/2018,11:05,107.250,107.575,106.050,107.350,13001,61286
05/09/2018,11:05,107.450,107.725,106.225,106.750,15008,63479
05/10/2018,11:05,106.500,107.775,105.875,107.250,13714,63759
05/11/2018,11:05,107.450,107.700,106.100,107.475,13907,63883
05/14/2018,11:05,106.825,107.000,104.950,105.275,11466,64646
05/15/2018,11:05,105.275,105.400,103.250,103.750,14011,64691
05/16/2018,11:05,103.500,104.200,102.200,102.300,11419,66306
05/17/2018,11:05,102.300,102.900,101.500,102.300,12465,65993
05/18/2018,11:05,102.500,103.375,101.625,101.700,12054,66108
05/21/2018,11:05,102.700,104.300,102.600,103.725,11698,66806
05/22/2018,11:05,103.950,104.150,103.200,103.850,8218,67029
05/23/2018,11:05,103.575,105.900,103.525,105.750,12697,68085
05/24/2018,11:05,105.925,106.475,105.050,105.250,7989,67949
05/25/2018,11:05,105.375,106.225,104.750,105.825,7989,67939
05/29/2018,11:05,105.850,106.150,104.400,104.850,9630,67618
05/30/2018,11:05,104.850,107.850,104.425,107.750,20809,66564
05/31/2018,11:05,108.000,108.325,105.200,107.050,15695,66305
06/01/2018,11:05,107.000,107.350,105.950,106.275,11543,67892
06/04/2018,11:05,106.400,106.775,105.275,105.400,9671,68907
06/05/2018,11:05,105.575,107.400,105.300,106.900,12195,70276
06/06/2018,11:05,107.075,107.875,106.925,107.175,11130,71310
06/07/2018,11:05,107.725,107.850,106.425,107.150,10984,71480
06/08/2018,11:05,107.175,108.575,107.175,108.200,12551,72010
06/11/2018,11:05,108.700,108.900,106.400,107.000,13767,73453
06/12/2018,11:05,106.975,107.725,106.025,107.350,12270,74371
06/13/2018,11:05,107.350,107.550,106.575,106.925,9847,75632
06/14/2018,11:05,106.475,106.675,104.325,104.800,11005,76389
06/15/2018,11:05,104.350,107.500,103.500,107.025,13782,76031
06/18/2018,11:05,107.025,107.975,106.300,107.575,8857,75962
06/19/2018,11:05,106.950,108.825,105.700,108.500,12881,76086
06/20/2018,11:05,108.650,109.800,108.500,109.275,13522,75503
06/21/2018,11:05,109.225,109.525,108.400,109.000,11217,77137
06/22/2018,11:05,108.750,109.650,108.375,109.400,14024,79380
06/25/2018,11:05,107.825,108.200,106.400,106.425,13694,79608
06/26/2018,11:05,106.450,106.950,105.375,105.900,14059,82634
06/27/2018,11:05,105.975,106.350,105.125,106.150,11348,84495
06/28/2018,11:05,106.075,107.300,105.900,107.025,13106,86367
06/29/2018,11:05,107.125,110.025,106.575,110.025,18098,87224
07/02/2018,11:05,110.250,111.250,109.675,109.850,22084,87797
07/03/2018,11:05,110.350,110.900,109.850,110.100,16928,89509
07/05/2018,11:05,110.625,111.150,110.050,110.125,16597,91803
07/06/2018,11:05,110.450,111.525,109.525,109.625,23991,93281
07/09/2018,11:05,109.900,110.275,108.300,108.625,25959,96633
07/10/2018,11:05,108.825,109.000,107.500,107.825,30162,100607
07/11/2018,11:05,107.975,107.975,105.475,106.250,35961,104730
07/12/2018,11:05,106.700,108.550,106.700,107.600,33755,107239
07/13/2018,11:05,107.900,107.975,106.750,107.375,29466,111262
07/16/2018,11:05,107.925,109.275,107.325,108.650,30577,118093
07/17/2018,11:05,109.050,109.450,108.075,108.500,18329,119974
07/18/2018,11:05,108.500,110.775,108.350,110.650,21935,121633
07/19/2018,11:05,110.775,111.000,110.100,110.650,20331,120753
07/20/2018,11:05,110.525,111.075,109.775,110.250,19230,120192
07/23/2018,11:05,110.550,110.925,109.825,110.600,21276,121021
07/24/2018,11:05,110.650,110.725,109.400,110.325,19888,122973
07/25/2018,11:05,110.400,111.250,109.575,110.775,18590,124608
07/26/2018,11:05,111.400,112.250,108.175,109.375,20178,126906
07/27/2018,11:05,109.600,110.900,108.975,110.475,20178,126808
07/30/2018,11:05,110.350,111.125,109.175,109.800,20074,125724
07/31/2018,11:05,109.625,110.150,108.800,109.300,22637,127998
08/01/2018,11:05,109.300,110.875,109.050,110.275,23701,127661
08/02/2018,11:05,110.625,110.775,109.300,109.950,29443,130784
08/03/2018,11:05,109.675,112.150,109.500,112.000,29443,130721
08/06/2018,11:05,112.000,112.150,111.225,111.550,21152,130513
08/07/2018,11:05,111.600,111.975,110.100,110.925,27302,129685
08/08/2018,11:05,110.800,111.100,110.050,111.000,18322,131376
08/09/2018,11:05,111.000,111.000,108.625,109.050,30513,131653
08/10/2018,11:05,109.075,109.550,108.200,109.250,21508,131707
08/13/2018,11:05,108.400,108.850,107.650,108.150,21914,130844
08/14/2018,11:05,108.050,108.850,107.900,108.725,17982,130591
08/15/2018,11:05,108.650,109.850,108.500,109.000,18332,130236
08/16/2018,11:05,109.225,109.750,108.725,109.275,15710,129799
08/17/2018,11:05,109.150,111.475,109.075,110.875,22464,130322
08/20/2018,11:05,110.875,111.075,110.275,110.450,20868,128996
08/21/2018,11:05,110.575,111.175,110.025,110.475,18016,126884
08/22/2018,11:05,109.975,110.000,108.300,108.900,25694,124180
08/23/2018,11:05,108.850,109.150,108.300,108.725,19643,123866
08/24/2018,11:05,108.550,108.950,106.475,106.700,34902,123900
08/27/2018,11:05,106.325,109.700,106.200,109.300,35562,122401
08/28/2018,11:05,109.575,109.650,107.475,108.450,27229,121731
08/29/2018,11:05,108.450,109.025,107.825,108.700,22625,122012
