"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:05,67.500,67.825,66.875,66.975,21360,78404
03/02/2018,11:05,67.450,68.000,66.900,67.575,21360,78373
03/05/2018,11:05,67.925,69.100,67.650,68.800,17955,75680
03/06/2018,11:05,69.275,69.325,68.125,68.200,20921,71873
03/07/2018,11:05,68.075,68.325,66.425,67.800,34019,66373
03/08/2018,11:05,67.175,68.175,66.625,68.075,32937,58885
03/09/2018,11:05,67.750,68.300,67.000,67.850,28945,52889
03/12/2018,11:05,67.500,67.825,66.525,67.675,25259,48822
03/13/2018,11:05,67.675,68.850,67.425,67.725,30588,44053
03/14/2018,11:05,67.450,67.725,66.625,66.875,20596,40577
03/15/2018,11:05,66.400,66.825,65.675,65.725,20869,34191
03/16/2018,11:05,65.700,66.525,65.375,65.450,20869,34176
03/19/2018,11:05,65.250,65.250,62.975,63.150,19576,34211
03/20/2018,11:05,63.275,63.850,62.825,63.250,11849,33668
03/21/2018,11:05,63.600,63.600,62.525,62.575,12928,30549
03/22/2018,11:05,62.625,62.725,60.850,61.325,11430,28557
03/23/2018,11:05,60.325,60.750,58.400,58.425,12981,27527
03/26/2018,11:05,58.825,59.100,57.950,58.025,7211,25619
03/27/2018,11:05,58.000,58.225,57.525,57.750,6605,24141
03/28/2018,11:05,56.850,57.400,56.750,56.925,10021,22521
03/29/2018,11:05,57.050,57.500,56.900,57.250,7260,21858
04/02/2018,11:05,56.500,56.700,54.250,54.275,5753,21440
04/03/2018,11:05,54.350,54.400,51.350,51.675,10888,20372
04/04/2018,11:05,51.750,53.625,50.475,53.075,9417,17955
04/05/2018,11:05,53.175,53.325,52.325,52.450,4777,14822
04/06/2018,11:05,52.650,52.700,52.050,52.125,4777,14987
04/09/2018,11:05,52.250,53.225,52.000,52.900,4893,13797
04/10/2018,11:05,53.250,54.100,53.250,53.500,4876,12862
04/11/2018,11:05,53.800,53.900,53.275,53.300,3706,12479
04/12/2018,11:05,53.750,54.375,53.600,54.300,3546,11729
04/13/2018,11:05,54.200,54.250,53.750,53.825,1421,11729
