"Date","Time","Open","High","Low","Close","Vol","OI"
11/06/2018,14:00,0.04623,0.04623,0.04623,0.04623,0,0
11/07/2018,14:00,0.04597,0.04597,0.04597,0.04597,0,0
11/08/2018,14:00,0.04508,0.04508,0.04508,0.04508,0,0
11/09/2018,14:00,0.04510,0.04510,0.04510,0.04510,0,0
11/12/2018,14:00,0.04478,0.04478,0.04478,0.04478,0,0
11/13/2018,14:00,0.04437,0.04437,0.04437,0.04437,0,0
11/14/2018,14:00,0.04469,0.04469,0.04469,0.04469,0,0
11/15/2018,14:00,0.04492,0.04492,0.04492,0.04492,0,0
11/16/2018,14:00,0.04527,0.04527,0.04527,0.04527,0,0
11/19/2018,14:00,0.04466,0.04466,0.04466,0.04466,0,0
11/20/2018,14:00,0.04456,0.04456,0.04456,0.04456,0,0
11/21/2018,14:00,0.04499,0.04499,0.04499,0.04499,0,0
11/23/2018,14:00,0.04465,0.04465,0.04465,0.04465,0,0
11/26/2018,14:00,0.04410,0.04410,0.04410,0.04410,0,0
11/27/2018,14:00,0.04445,0.04445,0.04445,0.04445,0,0
11/28/2018,14:00,0.04500,0.04500,0.04500,0.04500,0,0
11/29/2018,14:00,0.04504,0.04504,0.04504,0.04504,0,0
11/30/2018,14:00,0.04471,0.04471,0.04471,0.04471,0,0
12/03/2018,14:00,0.04479,0.04479,0.04479,0.04479,0,0
12/04/2018,14:00,0.04442,0.04442,0.04442,0.04442,0,0
12/06/2018,14:00,0.04469,0.04469,0.04469,0.04469,0,0
12/07/2018,14:00,0.04493,0.04493,0.04493,0.04493,0,0
12/10/2018,14:00,0.04483,0.04483,0.04483,0.04483,0,0
12/11/2018,14:00,0.04512,0.04512,0.04512,0.04512,0,0
12/12/2018,14:00,0.04535,0.04535,0.04535,0.04535,0,0
12/13/2018,14:00,0.04498,0.04498,0.04498,0.04498,0,0
12/14/2018,14:00,0.04512,0.04512,0.04512,0.04512,0,0
12/17/2018,14:00,0.04549,0.04549,0.04549,0.04549,0,0
12/18/2018,14:00,0.04534,0.04534,0.04534,0.04534,0,0
12/19/2018,14:00,0.04558,0.04558,0.04558,0.04558,0,0
12/20/2018,14:00,0.04605,0.04605,0.04605,0.04605,0,0
12/21/2018,14:00,0.04592,0.04592,0.04592,0.04592,0,0
12/24/2018,14:00,0.04604,0.04604,0.04604,0.04604,0,0
12/26/2018,14:00,0.04600,0.04600,0.04600,0.04600,0,0
12/27/2018,14:00,0.04663,0.04663,0.04663,0.04663,0,0
12/28/2018,14:00,0.04652,0.04652,0.04652,0.04652,0,0
12/31/2018,14:00,0.04655,0.04655,0.04655,0.04655,0,0
01/02/2019,14:00,0.04691,0.04691,0.04691,0.04691,0,0
01/03/2019,14:00,0.04683,0.04683,0.04683,0.04683,0,0
01/04/2019,14:00,0.04736,0.04736,0.04736,0.04736,0,0
01/07/2019,14:00,0.04748,0.04748,0.04748,0.04748,0,0
01/08/2019,14:00,0.04746,0.04746,0.04746,0.04746,0,0
01/09/2019,14:00,0.04783,0.04783,0.04783,0.04783,0,0
01/10/2019,14:00,0.04808,0.04808,0.04808,0.04808,0,0
01/11/2019,14:00,0.04810,0.04810,0.04810,0.04810,0,0
01/14/2019,14:00,0.04856,0.04856,0.04856,0.04856,0,0
01/15/2019,14:00,0.04859,0.04859,0.04859,0.04859,0,0
01/16/2019,14:00,0.04876,0.04876,0.04876,0.04876,0,0
01/17/2019,14:00,0.04865,0.04865,0.04865,0.04865,0,0
01/18/2019,14:00,0.04830,0.04830,0.04830,0.04830,0,0
01/22/2019,14:00,0.04822,0.04822,0.04822,0.04822,0,0
01/23/2019,14:00,0.04852,0.04852,0.04852,0.04852,0,0
01/24/2019,14:00,0.04864,0.04864,0.04864,0.04864,0,0
01/25/2019,14:00,0.04868,0.04868,0.04868,0.04868,0,0
01/28/2019,14:00,0.04859,0.04859,0.04859,0.04859,0,0
01/29/2019,14:00,0.04869,0.04869,0.04869,0.04869,0,0
01/30/2019,14:00,0.04855,0.04855,0.04855,0.04855,0,0
01/31/2019,14:00,0.04842,0.04842,0.04842,0.04842,0,0
02/01/2019,14:00,0.04846,0.04846,0.04846,0.04846,0,0
02/04/2019,14:00,0.04853,0.04853,0.04853,0.04853,0,0
02/05/2019,14:00,0.04867,0.04867,0.04867,0.04867,0,0
02/06/2019,14:00,0.04859,0.04859,0.04859,0.04859,0,0
02/07/2019,14:00,0.04854,0.04854,0.04854,0.04854,0,0
02/08/2019,14:00,0.04868,0.04868,0.04868,0.04868,0,0
02/11/2019,14:00,0.04808,0.04808,0.04808,0.04808,0,0
02/12/2019,14:00,0.04816,0.04816,0.04816,0.04816,0,0
02/13/2019,14:00,0.04777,0.04777,0.04777,0.04777,0,0
