"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.04886,0.04886,0.04886,0.04886,0,0
02/28/2018,14:00,0.04879,0.04879,0.04879,0.04879,0,0
03/01/2018,14:00,0.04872,0.04872,0.04872,0.04872,0,0
03/02/2018,14:00,0.04882,0.04882,0.04882,0.04882,0,0
03/05/2018,14:00,0.04881,0.04881,0.04881,0.04881,0,0
03/06/2018,14:00,0.04913,0.04913,0.04913,0.04913,0,0
03/07/2018,14:00,0.04914,0.04914,0.04914,0.04914,0,0
03/08/2018,14:00,0.04938,0.04938,0.04938,0.04938,0,0
03/09/2018,14:00,0.04954,0.04954,0.04954,0.04954,0,0
03/12/2018,14:00,0.04959,0.04959,0.04959,0.04959,0,0
03/13/2018,14:00,0.04964,0.04964,0.04964,0.04964,0,0
03/14/2018,14:00,0.04969,0.04969,0.04969,0.04969,0,0
03/15/2018,14:00,0.04930,0.04930,0.04930,0.04930,0,0
03/16/2018,14:00,0.04938,0.04938,0.04938,0.04938,0,0
03/19/2018,14:00,0.04921,0.04921,0.04921,0.04921,0,0
03/20/2018,14:00,0.04922,0.04922,0.04922,0.04922,0,0
03/21/2018,14:00,0.04995,0.04995,0.04995,0.04995,0,0
03/22/2018,14:00,0.04995,0.04995,0.04995,0.04995,0,0
03/23/2018,14:00,0.04994,0.04994,0.04994,0.04994,0,0
03/26/2018,14:00,0.05060,0.05060,0.05060,0.05060,0,0
03/27/2018,14:00,0.05045,0.05045,0.05045,0.05045,0,0
03/28/2018,14:00,0.05074,0.05074,0.05074,0.05074,0,0
03/29/2018,14:00,0.05094,0.05094,0.05094,0.05094,0,0
04/02/2018,14:00,0.05057,0.05057,0.05057,0.05057,0,0
04/03/2018,14:00,0.05088,0.05088,0.05088,0.05088,0,0
04/04/2018,14:00,0.05104,0.05104,0.05104,0.05104,0,0
04/05/2018,14:00,0.05110,0.05110,0.05110,0.05110,0,0
04/06/2018,14:00,0.05068,0.05068,0.05068,0.05068,0,0
04/09/2018,14:00,0.05078,0.05078,0.05078,0.05078,0,0
04/10/2018,14:00,0.05081,0.05081,0.05081,0.05081,0,0
04/11/2018,14:00,0.05091,0.05091,0.05091,0.05091,0,0
04/12/2018,14:00,0.05110,0.05110,0.05110,0.05110,0,0
