"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:00,147.45,147.45,147.45,147.45,0,0
03/01/2018,11:00,144.85,144.85,144.85,144.85,0,0
03/02/2018,11:00,143.65,143.65,143.65,143.65,0,0
03/05/2018,11:00,144.15,144.15,144.15,144.15,0,0
03/06/2018,11:00,145.90,145.90,145.90,145.90,0,0
03/07/2018,11:00,145.25,145.25,145.25,145.25,0,0
03/08/2018,11:00,142.70,142.70,142.70,142.70,0,0
03/09/2018,11:00,143.35,143.35,143.35,143.35,0,0
03/12/2018,11:00,143.35,143.35,143.35,143.35,0,0
03/13/2018,11:00,143.35,143.35,143.35,143.35,0,0
03/14/2018,11:00,143.50,143.50,143.50,143.50,0,0
03/15/2018,11:00,143.00,143.00,143.00,143.00,0,0
03/16/2018,11:00,141.70,141.70,141.70,141.70,0,0
03/19/2018,11:00,141.20,141.20,141.20,141.20,0,0
03/20/2018,11:00,140.95,140.95,140.95,140.95,0,0
03/21/2018,11:00,141.00,141.00,141.00,141.00,0,0
03/22/2018,11:00,140.95,140.95,140.95,140.95,0,0
03/23/2018,11:00,140.55,140.55,140.55,140.55,0,0
03/26/2018,11:00,143.00,143.00,143.00,143.00,0,0
03/27/2018,11:00,141.90,141.90,141.90,141.90,0,0
03/28/2018,11:00,144.65,144.65,144.65,144.65,0,0
03/29/2018,11:00,144.70,144.70,144.70,144.70,0,0
04/02/2018,11:00,143.85,143.85,143.85,143.85,0,0
04/03/2018,11:00,143.45,143.45,143.45,143.45,0,0
04/04/2018,11:00,143.70,143.70,143.70,143.70,0,0
04/05/2018,11:00,143.00,143.00,143.00,143.00,0,0
04/06/2018,11:00,142.70,142.70,142.70,142.70,0,0
04/09/2018,11:00,143.45,143.45,143.45,143.45,0,0
04/10/2018,11:00,143.15,143.15,143.15,143.15,0,0
04/11/2018,11:00,144.00,144.00,144.00,144.00,0,0
04/12/2018,11:00,144.65,144.65,144.65,144.65,0,0
04/13/2018,11:00,146.60,146.60,146.60,146.60,0,0
04/16/2018,11:00,147.70,147.70,147.70,147.70,0,0
04/17/2018,11:00,149.50,149.50,149.50,149.50,0,0
04/18/2018,11:00,149.50,149.50,149.50,149.50,0,0
04/19/2018,11:00,147.70,147.70,147.70,147.70,0,0
04/20/2018,11:00,148.40,148.40,148.40,148.40,0,0
04/23/2018,11:00,150.75,150.75,150.75,150.75,0,0
04/24/2018,11:00,151.65,151.65,151.65,151.65,0,0
04/25/2018,11:00,152.70,152.70,152.70,152.70,0,0
04/26/2018,11:00,154.55,154.55,154.55,154.55,0,0
04/27/2018,11:00,152.90,152.90,152.90,152.90,0,0
04/30/2018,11:00,154.70,154.70,154.70,154.70,0,0
05/01/2018,11:00,158.05,158.05,158.05,158.05,0,0
05/02/2018,11:00,161.05,161.05,161.05,161.05,0,0
05/03/2018,11:00,160.65,160.65,160.65,160.65,0,0
05/04/2018,11:00,163.25,163.25,163.25,163.25,0,0
05/07/2018,11:00,165.90,165.90,165.90,165.90,0,0
05/08/2018,11:00,163.05,163.05,163.05,163.05,0,0
05/09/2018,11:00,167.60,167.60,167.60,167.60,0,0
05/10/2018,11:00,169.50,169.50,169.50,169.50,0,0
05/11/2018,11:00,171.05,171.05,171.05,171.05,0,0
05/14/2018,11:00,172.80,172.80,172.80,172.80,0,0
05/15/2018,11:00,170.95,170.95,170.95,170.95,0,0
05/16/2018,11:00,169.45,169.45,169.45,169.45,0,0
05/17/2018,11:00,169.45,169.45,169.45,169.45,0,0
05/18/2018,11:00,165.75,165.75,165.75,165.75,0,0
05/21/2018,11:00,167.50,167.50,167.50,167.50,0,0
05/22/2018,11:00,168.25,168.25,168.25,168.25,0,0
05/23/2018,11:00,168.65,168.65,168.65,168.65,0,0
05/24/2018,11:00,168.15,168.15,168.15,168.15,0,0
05/25/2018,11:00,167.85,167.85,167.85,167.85,0,0
05/29/2018,11:00,167.50,167.50,167.50,167.50,0,0
05/30/2018,11:00,162.55,162.55,162.55,162.55,0,0
05/31/2018,11:00,162.95,162.95,162.95,162.95,0,0
06/01/2018,11:00,166.20,166.20,166.20,166.20,0,0
06/04/2018,11:00,166.45,166.45,166.45,166.45,0,0
06/05/2018,11:00,166.50,166.50,166.50,166.50,0,0
06/06/2018,11:00,167.30,167.30,167.30,167.30,0,0
06/07/2018,11:00,166.50,166.50,166.50,166.50,0,0
06/08/2018,11:00,161.20,161.20,161.20,161.20,0,0
