"Date","Time","Open","High","Low","Close","Vol","OI"
04/25/2018,14:00,1.0951,1.0951,1.0951,1.0951,0,0
04/26/2018,14:00,1.0880,1.0880,1.0880,1.0880,0,0
04/27/2018,14:00,1.0887,1.0887,1.0887,1.0887,0,0
04/30/2018,14:00,1.0859,1.0859,1.0859,1.0859,0,0
05/01/2018,14:00,1.0799,1.0799,1.0799,1.0799,0,0
05/02/2018,14:00,1.0797,1.0797,1.0797,1.0797,0,0
05/03/2018,14:00,1.0784,1.0784,1.0784,1.0784,0,0
05/04/2018,14:00,1.0756,1.0756,1.0756,1.0756,0,0
05/07/2018,14:00,1.0733,1.0733,1.0733,1.0733,0,0
05/08/2018,14:00,1.0734,1.0734,1.0734,1.0734,0,0
05/09/2018,14:00,1.0704,1.0704,1.0704,1.0704,0,0
05/10/2018,14:00,1.0732,1.0732,1.0732,1.0732,0,0
05/11/2018,14:00,1.0736,1.0736,1.0736,1.0736,0,0
05/14/2018,14:00,1.0738,1.0738,1.0738,1.0738,0,0
05/15/2018,14:00,1.0722,1.0722,1.0722,1.0722,0,0
05/16/2018,14:00,1.0741,1.0741,1.0741,1.0741,0,0
05/17/2018,14:00,1.0733,1.0733,1.0733,1.0733,0,0
05/18/2018,14:00,1.0773,1.0773,1.0773,1.0773,0,0
05/21/2018,14:00,1.0780,1.0780,1.0780,1.0780,0,0
05/22/2018,14:00,1.0833,1.0833,1.0833,1.0833,0,0
05/23/2018,14:00,1.0800,1.0800,1.0800,1.0800,0,0
05/24/2018,14:00,1.0839,1.0839,1.0839,1.0839,0,0
05/25/2018,14:00,1.0835,1.0835,1.0835,1.0835,0,0
05/29/2018,14:00,1.0866,1.0866,1.0866,1.0866,0,0
05/30/2018,14:00,1.0863,1.0863,1.0863,1.0863,0,0
05/31/2018,14:00,1.0901,1.0901,1.0901,1.0901,0,0
06/01/2018,14:00,1.0871,1.0871,1.0871,1.0871,0,0
06/04/2018,14:00,1.0877,1.0877,1.0877,1.0877,0,0
06/05/2018,14:00,1.0911,1.0911,1.0911,1.0911,0,0
06/06/2018,14:00,1.0902,1.0902,1.0902,1.0902,0,0
06/07/2018,14:00,1.0956,1.0956,1.0956,1.0956,0,0
06/08/2018,14:00,1.0903,1.0903,1.0903,1.0903,0,0
06/11/2018,14:00,1.0910,1.0910,1.0910,1.0910,0,0
06/12/2018,14:00,1.0898,1.0898,1.0898,1.0898,0,0
06/13/2018,14:00,1.0893,1.0893,1.0893,1.0893,0,0
06/14/2018,14:00,1.0784,1.0784,1.0784,1.0784,0,0
06/15/2018,14:00,1.0771,1.0771,1.0771,1.0771,0,0
06/18/2018,14:00,1.0800,1.0800,1.0800,1.0800,0,0
06/19/2018,14:00,1.0796,1.0796,1.0796,1.0796,0,0
06/20/2018,14:00,1.0788,1.0788,1.0788,1.0788,0,0
06/21/2018,14:00,1.0839,1.0839,1.0839,1.0839,0,0
06/22/2018,14:00,1.0871,1.0871,1.0871,1.0871,0,0
06/25/2018,14:00,1.0882,1.0882,1.0882,1.0882,0,0
06/26/2018,14:00,1.0821,1.0821,1.0821,1.0821,0,0
06/27/2018,14:00,1.0751,1.0751,1.0751,1.0751,0,0
06/28/2018,14:00,1.0733,1.0733,1.0733,1.0733,0,0
06/29/2018,14:00,1.0821,1.0821,1.0821,1.0821,0,0
07/02/2018,14:00,1.0773,1.0773,1.0773,1.0773,0,0
07/03/2018,14:00,1.0784,1.0784,1.0784,1.0784,0,0
07/05/2018,14:00,1.0769,1.0769,1.0769,1.0769,0,0
07/06/2018,14:00,1.0813,1.0813,1.0813,1.0813,0,0
07/09/2018,14:00,1.0792,1.0792,1.0792,1.0792,0,0
07/10/2018,14:00,1.0792,1.0792,1.0792,1.0792,0,0
07/11/2018,14:00,1.0742,1.0742,1.0742,1.0742,0,0
07/12/2018,14:00,1.0674,1.0674,1.0674,1.0674,0,0
07/13/2018,14:00,1.0672,1.0672,1.0672,1.0672,0,0
07/16/2018,14:00,1.0733,1.0733,1.0733,1.0733,0,0
07/17/2018,14:00,1.0704,1.0704,1.0704,1.0704,0,0
07/18/2018,14:00,1.0706,1.0706,1.0706,1.0706,0,0
07/19/2018,14:00,1.0706,1.0706,1.0706,1.0706,0,0
07/20/2018,14:00,1.0775,1.0775,1.0775,1.0775,0,0
07/23/2018,14:00,1.0761,1.0761,1.0761,1.0761,0,0
07/24/2018,14:00,1.0754,1.0754,1.0754,1.0754,0,0
07/25/2018,14:00,1.0768,1.0768,1.0768,1.0768,0,0
07/26/2018,14:00,1.0753,1.0753,1.0753,1.0753,0,0
07/27/2018,14:00,1.0756,1.0756,1.0756,1.0756,0,0
