"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,17.05,17.65,17.05,17.50,12966,41312
03/01/2018,14:00,17.45,18.60,17.45,18.20,18506,40821
03/02/2018,14:00,18.20,19.00,17.88,17.94,15589,40821
03/05/2018,14:00,18.10,18.50,17.65,17.65,7720,40037
03/06/2018,14:00,17.65,18.10,17.65,17.85,6420,39517
03/07/2018,14:00,18.40,18.60,17.80,17.80,7366,39341
03/08/2018,14:00,17.86,17.93,17.55,17.55,11370,40178
03/09/2018,14:00,17.60,17.70,16.65,16.74,12513,40178
03/12/2018,14:00,16.85,17.17,16.85,17.07,9511,40463
03/13/2018,14:00,17.05,17.43,17.05,17.35,11337,40488
03/14/2018,14:00,17.35,17.72,17.35,17.50,10000,40430
03/15/2018,14:00,17.50,17.72,17.25,17.25,9020,40101
03/16/2018,14:00,17.20,17.35,16.85,16.95,8836,40101
03/19/2018,14:00,17.00,18.00,17.00,17.45,17387,42290
03/20/2018,14:00,17.50,17.83,17.50,17.55,12401,41595
03/21/2018,14:00,17.55,17.67,17.35,17.35,20790,43852
03/22/2018,14:00,17.37,18.42,17.37,18.10,35916,45131
03/23/2018,14:00,18.05,19.01,17.75,18.80,36723,45131
03/26/2018,14:00,18.80,18.92,18.30,18.30,24731,46735
03/27/2018,14:00,18.25,19.40,18.25,19.15,21761,44614
03/28/2018,14:00,19.15,19.73,19.15,19.34,30202,44988
03/29/2018,14:00,19.30,19.43,18.85,18.85,19881,44988
04/02/2018,14:00,18.80,20.02,18.80,19.25,25663,41305
04/03/2018,14:00,19.32,19.60,19.30,19.30,26934,42857
04/04/2018,14:00,19.27,20.18,18.85,18.85,28942,43012
04/05/2018,14:00,18.85,18.95,18.50,18.60,22671,43792
04/06/2018,14:00,18.54,19.88,18.51,19.24,26154,44109
04/09/2018,14:00,19.30,19.45,18.85,19.38,18042,44571
04/10/2018,14:00,19.40,19.61,18.82,19.08,25071,45136
04/11/2018,14:00,19.11,19.45,18.97,19.28,16048,46039
04/12/2018,14:00,19.27,19.36,18.60,18.68,20955,46039
04/13/2018,14:00,18.61,18.88,18.20,18.25,25468,53263
04/16/2018,14:00,18.15,18.20,17.45,17.58,21876,52712
04/17/2018,14:00,17.70,17.70,16.58,16.88,40645,53637
04/18/2018,14:00,16.95,17.41,16.42,16.68,52818,53796
04/19/2018,14:00,16.60,17.19,16.55,16.83,54681,53796
04/20/2018,14:00,16.80,17.25,16.60,17.10,54484,62862
04/23/2018,14:00,17.01,17.27,16.60,17.03,42293,69270
04/24/2018,14:00,17.05,18.18,16.57,17.48,74409,76142
04/25/2018,14:00,17.47,18.10,17.28,17.68,68485,82580
04/26/2018,14:00,17.45,17.70,16.92,17.03,59273,82580
04/27/2018,14:00,17.00,17.33,16.75,16.75,56832,88881
04/30/2018,14:00,16.75,17.00,16.51,16.93,73144,98693
05/01/2018,14:00,16.97,17.10,16.40,16.48,68077,105231
05/02/2018,14:00,16.45,16.80,16.10,16.78,69917,110900
05/03/2018,14:00,16.70,17.60,16.50,16.53,102349,110900
05/04/2018,14:00,16.55,17.05,16.25,16.36,86765,128472
05/07/2018,14:00,16.40,16.50,16.12,16.33,56930,136711
05/08/2018,14:00,16.35,16.57,16.20,16.23,63529,144591
05/09/2018,14:00,16.25,16.36,15.55,15.63,85044,155704
05/10/2018,14:00,15.60,15.75,14.85,15.08,87077,155704
05/11/2018,14:00,15.12,15.20,14.65,14.73,79445,179331
05/14/2018,14:00,14.65,14.70,14.20,14.48,100420,194775
05/15/2018,14:00,14.45,15.50,14.40,15.33,124671,203842
05/16/2018,14:00,15.30,15.42,14.60,14.68,92631,199981
05/17/2018,14:00,14.65,14.86,14.27,14.38,86424,199981
05/18/2018,14:00,14.35,14.80,14.22,14.55,67659,192856
05/21/2018,14:00,14.25,14.25,13.70,14.08,88395,194533
05/22/2018,14:00,14.15,14.30,13.88,14.23,65468,192703
05/23/2018,14:00,14.20,14.95,13.85,13.88,95098,190156
05/24/2018,14:00,13.95,14.72,13.80,13.83,98783,190156
05/25/2018,14:00,13.85,14.30,13.70,14.20,91462,190156
05/28/2018,14:00,14.05,14.35,13.80,14.30,91462,186967
05/29/2018,14:00,14.25,16.70,13.80,15.93,225282,191496
05/30/2018,14:00,16.00,16.22,14.85,15.18,122750,177005
05/31/2018,14:00,15.20,15.80,14.90,15.43,92229,177005
06/01/2018,14:00,15.36,15.37,14.30,14.40,110765,153578
06/04/2018,14:00,14.45,14.50,13.85,13.93,75458,146329
06/05/2018,14:00,13.85,14.12,13.60,13.63,69976,144329
06/06/2018,14:00,13.60,13.65,12.95,13.08,92924,140974
06/07/2018,14:00,13.05,13.95,12.90,13.18,94274,140974
06/08/2018,14:00,13.15,14.20,13.10,13.35,80201,132794
06/11/2018,14:00,13.40,13.60,12.75,12.88,71995,124996
06/12/2018,14:00,12.95,13.20,12.65,12.78,76038,115678
06/13/2018,14:00,12.75,13.25,12.55,13.23,75093,102999
06/14/2018,14:00,13.15,13.45,12.40,12.68,96936,102999
06/15/2018,14:00,12.65,13.40,12.53,12.60,88133,82317
06/18/2018,14:00,12.65,13.61,12.57,12.68,77701,70794
06/19/2018,14:00,12.70,14.45,12.65,13.58,94247,45858
06/20/2018,14:00,13.50,13.88,12.27,12.27,3178,45858
