"Date","Time","Open","High","Low","Close","Vol","OI"
12/30/2019,15:00,18.089,18.089,18.089,18.089,0,0
12/31/2019,15:00,18.009,18.009,18.009,18.009,0,0
01/02/2020,15:00,18.134,18.134,18.134,18.134,0,0
01/03/2020,15:00,18.240,18.240,18.240,18.240,0,0
01/06/2020,15:00,18.267,18.267,18.267,18.267,0,0
01/07/2020,15:00,18.480,18.480,18.480,18.480,0,0
01/08/2020,15:00,18.256,18.256,18.256,18.256,0,0
01/09/2020,15:00,18.025,18.025,18.025,18.025,0,0
01/10/2020,15:00,18.193,18.193,18.193,18.193,0,0
01/13/2020,15:00,18.084,18.084,18.084,18.084,0,0
01/14/2020,15:00,17.827,17.827,17.827,17.827,0,0
01/15/2020,15:00,18.072,18.072,18.072,18.072,0,0
01/16/2020,15:00,18.024,18.024,18.024,18.024,0,0
01/17/2020,15:00,18.158,18.158,18.158,18.158,0,0
01/20/2020,15:00,18.158,18.158,18.158,18.158,0,0
01/21/2020,15:00,17.892,17.892,17.892,17.892,0,0
01/22/2020,15:00,17.911,17.911,17.911,17.911,0,0
01/23/2020,15:00,17.911,17.911,17.911,17.911,0,0
01/24/2020,15:00,18.194,18.194,18.194,18.194,0,0
01/27/2020,15:00,18.138,18.138,18.138,18.138,0,0
01/28/2020,15:00,17.539,17.539,17.539,17.539,0,0
01/29/2020,15:00,17.568,17.568,17.568,17.568,0,0
01/30/2020,15:00,18.032,18.032,18.032,18.032,0,0
01/31/2020,15:00,18.052,18.052,18.052,18.052,0,0
02/03/2020,15:00,17.712,17.712,17.712,17.712,0,0
02/04/2020,15:00,17.600,17.600,17.600,17.600,0,0
02/05/2020,15:00,17.643,17.643,17.643,17.643,0,0
02/06/2020,15:00,17.857,17.857,17.857,17.857,0,0
02/07/2020,15:00,17.733,17.733,17.733,17.733,0,0
02/10/2020,15:00,17.826,17.826,17.826,17.826,0,0
02/11/2020,15:00,17.638,17.638,17.638,17.638,0,0
02/12/2020,15:00,17.537,17.537,17.537,17.537,0,0
02/13/2020,15:00,17.660,17.660,17.660,17.660,0,0
02/14/2020,15:00,17.775,17.775,17.775,17.775,0,0
02/17/2020,15:00,17.775,17.775,17.775,17.775,0,0
02/18/2020,15:00,18.012,18.192,18.012,18.192,3,3
02/19/2020,15:00,18.190,18.365,18.190,18.359,3,5
02/20/2020,15:00,18.367,18.367,18.367,18.367,0,5
02/21/2020,15:00,18.555,18.579,18.555,18.579,8,7
02/24/2020,15:00,18.652,18.923,18.643,18.923,13,9
02/25/2020,15:00,18.229,18.229,18.229,18.229,0,9
02/26/2020,15:00,18.006,18.164,17.846,17.874,18,17
02/27/2020,15:00,17.629,17.880,17.600,17.693,4,17
