"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.4272,1.4272,1.4272,1.4272,0,0
02/28/2018,14:00,1.4124,1.4124,1.4124,1.4124,0,0
03/01/2018,14:00,1.4112,1.4112,1.4112,1.4112,0,0
03/02/2018,14:00,1.4134,1.4134,1.4134,1.4134,0,0
03/05/2018,14:00,1.4177,1.4177,1.4177,1.4177,0,0
03/06/2018,14:00,1.4234,1.4234,1.4234,1.4234,0,0
03/07/2018,14:00,1.4247,1.4247,1.4247,1.4247,0,0
03/08/2018,14:00,1.4143,1.4143,1.4143,1.4143,0,0
03/09/2018,14:00,1.4198,1.4198,1.4198,1.4198,0,0
03/12/2018,14:00,1.4256,1.4256,1.4256,1.4256,0,0
03/13/2018,14:00,1.4326,1.4326,1.4326,1.4326,0,0
03/14/2018,14:00,1.4327,1.4327,1.4327,1.4327,0,0
03/15/2018,14:00,1.4281,1.4281,1.4281,1.4281,0,0
03/16/2018,14:00,1.4291,1.4291,1.4291,1.4291,0,0
03/19/2018,14:00,1.4398,1.4398,1.4398,1.4398,0,0
03/20/2018,14:00,1.4349,1.4349,1.4349,1.4349,0,0
03/21/2018,14:00,1.4469,1.4469,1.4469,1.4469,0,0
03/22/2018,14:00,1.4441,1.4441,1.4441,1.4441,0,0
03/23/2018,14:00,1.4477,1.4477,1.4477,1.4477,0,0
03/26/2018,14:00,1.4558,1.4558,1.4558,1.4558,0,0
03/27/2018,14:00,1.4472,1.4472,1.4472,1.4472,0,0
03/28/2018,14:00,1.4405,1.4405,1.4405,1.4405,0,0
03/29/2018,14:00,1.4336,1.4336,1.4336,1.4336,0,0
04/02/2018,14:00,1.4358,1.4358,1.4358,1.4358,0,0
04/03/2018,14:00,1.4381,1.4381,1.4381,1.4381,0,0
04/04/2018,14:00,1.4404,1.4404,1.4404,1.4404,0,0
04/05/2018,14:00,1.4331,1.4331,1.4331,1.4331,0,0
04/06/2018,14:00,1.4409,1.4409,1.4409,1.4409,0,0
04/09/2018,14:00,1.4459,1.4459,1.4459,1.4459,0,0
04/10/2018,14:00,1.4515,1.4515,1.4515,1.4515,0,0
04/11/2018,14:00,1.4504,1.4504,1.4504,1.4504,0,0
04/12/2018,14:00,1.4561,1.4561,1.4561,1.4561,0,0
04/13/2018,14:00,1.4577,1.4577,1.4577,1.4577,0,0
04/16/2018,14:00,1.4673,1.4673,1.4673,1.4673,0,0
04/17/2018,14:00,1.4626,1.4626,1.4626,1.4626,0,0
04/18/2018,14:00,1.4549,1.4549,1.4549,1.4549,0,0
04/19/2018,14:00,1.4414,1.4414,1.4414,1.4414,0,0
04/20/2018,14:00,1.4370,1.4370,1.4370,1.4370,0,0
04/23/2018,14:00,1.4285,1.4285,1.4285,1.4285,0,0
04/24/2018,14:00,1.4314,1.4314,1.4314,1.4314,0,0
04/25/2018,14:00,1.4287,1.4287,1.4287,1.4287,0,0
04/26/2018,14:00,1.4268,1.4268,1.4268,1.4268,0,0
04/27/2018,14:00,1.4133,1.4133,1.4133,1.4133,0,0
04/30/2018,14:00,1.4094,1.4094,1.4094,1.4094,0,0
05/01/2018,14:00,1.3964,1.3964,1.3964,1.3964,0,0
05/02/2018,14:00,1.3946,1.3946,1.3946,1.3946,0,0
05/03/2018,14:00,1.3915,1.3915,1.3915,1.3915,0,0
05/04/2018,14:00,1.3887,1.3887,1.3887,1.3887,0,0
05/07/2018,14:00,1.3906,1.3906,1.3906,1.3906,0,0
05/08/2018,14:00,1.3876,1.3876,1.3876,1.3876,0,0
