"Date","Time","Open","High","Low","Close","Vol","OI"
12/28/2018,14:00,3830,3830,3830,3830,0,0
12/31/2018,14:00,3625,3625,3625,3625,0,0
01/02/2019,14:00,3780,3790,3765,3790,5,5
01/03/2019,14:00,3740,3740,3695,3710,15,17
01/04/2019,14:00,3680,3680,3680,3680,0,17
01/07/2019,14:00,3955,3955,3915,3915,19,30
01/08/2019,14:00,3955,3990,3915,3915,26,56
01/09/2019,14:00,3935,3935,3920,3920,7,59
01/10/2019,14:00,3705,3705,3500,3530,4,60
01/11/2019,14:00,3525,3540,3525,3540,7,67
01/14/2019,14:00,3455,3555,3455,3555,1,68
01/15/2019,14:00,3565,3565,3450,3450,16,77
01/16/2019,14:00,3510,3510,3465,3465,1,78
01/17/2019,14:00,3520,3520,3505,3505,2,80
01/18/2019,14:00,3450,3450,3445,3445,9,86
01/22/2019,14:00,3510,3510,3475,3475,7,91
01/23/2019,14:00,3455,3475,3430,3435,24,99
01/24/2019,14:00,3465,3465,3465,3465,2,98
01/25/2019,14:00,3460,3460,3440,3440,2,98
01/28/2019,14:00,3395,3405,3315,3330,61,137
01/29/2019,14:00,3300,3330,3300,3320,6,138
01/30/2019,14:00,3325,3355,3325,3355,2,139
01/31/2019,14:00,3375,3375,3330,3345,5,141
02/01/2019,14:00,3320,3375,3305,3375,32,147
02/04/2019,14:00,3335,3350,3330,3345,5,159
02/05/2019,14:00,3350,3360,3350,3355,9,163
02/06/2019,14:00,3350,3350,3285,3295,24,170
02/07/2019,14:00,3315,3315,3285,3290,10,159
02/08/2019,14:00,3320,3655,3315,3575,38,165
02/11/2019,14:00,3560,3575,3555,3565,28,192
02/12/2019,14:00,3530,3580,3530,3570,20,200
02/13/2019,14:00,3560,3560,3530,3530,20,212
02/14/2019,14:00,3545,3555,3505,3530,308,445
02/15/2019,14:00,3535,3560,3525,3550,308,445
02/19/2019,14:00,3880,3970,3875,3940,132,475
02/20/2019,14:00,3900,3940,3900,3940,30,488
02/21/2019,14:00,3940,3940,3895,3905,60,519
02/22/2019,14:00,3895,3950,3895,3935,36,483
02/25/2019,14:00,3925,3925,3735,3820,38,497
02/26/2019,14:00,3805,3805,3765,3780,18,502
02/27/2019,14:00,3635,3705,3635,3705,10,507
02/28/2019,14:00,3800,3870,3790,3790,1,511
03/01/2019,14:00,3810,3820,3810,3820,1,511
03/04/2019,14:00,3765,3765,3680,3695,31,527
03/05/2019,14:00,3670,3865,3670,3835,43,552
03/06/2019,14:00,3835,3845,3820,3845,19,560
03/07/2019,14:00,3840,3870,3840,3870,14,567
03/08/2019,14:00,3860,3895,3860,3895,9,569
03/11/2019,14:00,3860,3860,3830,3840,27,577
03/12/2019,14:00,3820,3875,3805,3845,46,586
03/13/2019,14:00,3850,3865,3830,3840,23,593
03/14/2019,14:00,3835,3885,3810,3840,46,610
03/15/2019,14:00,3885,3905,3875,3905,99,639
03/18/2019,14:00,3930,4015,3930,3960,54,657
03/19/2019,14:00,3975,4000,3955,3995,103,696
03/20/2019,14:00,4000,4020,3975,4015,97,737
03/21/2019,14:00,4035,4050,3910,3965,64,741
03/22/2019,14:00,3980,3985,3945,3980,55,752
03/25/2019,14:00,3965,3970,3890,3895,48,766
03/26/2019,14:00,3890,3905,3880,3905,74,801
03/27/2019,14:00,3915,4010,3915,4005,139,910
03/28/2019,14:00,4020,4020,4005,4005,91,924
03/29/2019,14:00,4025,4095,4025,4080,91,924
04/01/2019,14:00,4095,4135,4055,4125,160,1069
04/02/2019,14:00,4155,4980,4155,4775,388,988
04/03/2019,14:00,4780,5320,4780,5150,460,1008
04/04/2019,14:00,5240,5255,4815,4840,339,911
04/05/2019,14:00,4930,5060,4915,5015,64,918
04/08/2019,14:00,5205,5365,5150,5215,235,926
04/09/2019,14:00,5300,5300,5175,5220,90,919
04/10/2019,14:00,5210,5475,5195,5415,124,922
04/11/2019,14:00,5305,5305,4990,5075,102,962
04/12/2019,14:00,5025,5115,4905,5065,102,962
04/15/2019,14:00,5115,5170,4990,5010,107,934
04/16/2019,14:00,5030,5225,5025,5200,125,917
04/17/2019,14:00,5240,5240,5190,5240,153,989
04/18/2019,14:00,5245,5325,5235,5305,66,1003
04/22/2019,14:00,5310,5455,5275,5395,118,1008
04/23/2019,14:00,5490,5650,5490,5600,297,1040
04/24/2019,14:00,5575,5610,5385,5435,451,1137
04/25/2019,14:00,5460,5505,5390,5490,75,1155
