"Date","Time","Open","High","Low","Close","Vol","OI"
07/26/2018,14:00,8290,8290,8290,8290,0,0
07/27/2018,14:00,8230,8230,8230,8230,0,0
07/30/2018,14:00,8145,8145,8145,8145,1,1
07/31/2018,14:00,7745,7745,7745,7745,3,4
08/01/2018,14:00,7560,7560,7560,7560,0,4
08/02/2018,14:00,7540,7540,7540,7540,0,4
08/03/2018,14:00,7375,7375,7375,7375,0,4
08/06/2018,14:00,7045,7125,6900,6940,43,25
08/07/2018,14:00,7120,7120,6985,6985,35,18
08/08/2018,14:00,6500,6500,6325,6325,3,19
08/09/2018,14:00,6455,6460,6440,6460,11,20
08/10/2018,14:00,6390,6390,6390,6390,1,20
08/13/2018,14:00,6345,6345,6230,6230,1,21
08/14/2018,14:00,6085,6105,6070,6070,3,20
08/15/2018,14:00,6260,6550,6260,6370,8,21
08/16/2018,14:00,6240,6420,6240,6405,10,20
08/17/2018,14:00,6480,6480,6480,6480,0,20
08/20/2018,14:00,6475,6475,6430,6430,2,22
08/21/2018,14:00,6425,6425,6420,6420,4,26
08/22/2018,14:00,6755,6755,6285,6410,21,39
08/23/2018,14:00,6380,6400,6380,6400,2,40
08/24/2018,14:00,6590,6600,6575,6600,2,40
08/27/2018,14:00,6665,6730,6665,6730,4,38
08/28/2018,14:00,6785,7095,6785,7090,28,37
08/29/2018,14:00,7100,7100,6910,7000,13,43
08/30/2018,14:00,7030,7030,6815,6815,20,52
08/31/2018,14:00,6955,7040,6895,7040,60,62
09/04/2018,14:00,7235,7405,7225,7355,260,158
09/05/2018,14:00,7355,7385,6875,6905,86,201
09/06/2018,14:00,6880,6880,6280,6430,87,221
09/07/2018,14:00,6395,6485,6290,6385,87,221
09/10/2018,14:00,6310,6310,6190,6260,15,215
09/11/2018,14:00,6355,6355,6130,6230,63,210
09/12/2018,14:00,6230,6300,6230,6285,13,207
09/13/2018,14:00,6345,6505,6345,6430,88,194
09/14/2018,14:00,6550,6550,6340,6525,38,200
09/17/2018,14:00,6460,6460,6180,6230,99,231
09/18/2018,14:00,6200,6365,6200,6275,33,247
09/19/2018,14:00,6330,6520,6040,6375,179,291
09/20/2018,14:00,6345,6420,6345,6395,94,309
09/21/2018,14:00,6470,6760,6460,6735,203,397
09/24/2018,14:00,6680,6710,6575,6610,609,819
09/25/2018,14:00,6595,6595,6315,6350,668,1208
09/26/2018,14:00,6375,6525,6365,6475,640,1508
09/27/2018,14:00,6435,6735,6420,6645,4965,1975
09/28/2018,14:00,6700,6805,6520,6670,4965,1975
10/01/2018,14:00,6560,6625,6455,6540,1477,2033
10/02/2018,14:00,6550,6585,6435,6510,1131,2029
10/03/2018,14:00,6510,6520,6345,6425,1356,2090
10/04/2018,14:00,6415,6610,6405,6555,1697,2172
10/05/2018,14:00,6530,6580,6500,6530,928,2221
10/08/2018,14:00,6530,6675,6515,6630,1783,2438
10/09/2018,14:00,6620,6620,6535,6580,1004,2477
10/10/2018,14:00,6580,6590,6450,6540,1700,2500
10/11/2018,14:00,6515,6535,6030,6180,4268,2263
10/12/2018,14:00,6180,6225,6095,6185,1908,2390
10/15/2018,14:00,6165,6770,6110,6390,6704,2322
10/16/2018,14:00,6390,6495,6380,6420,1604,2248
10/17/2018,14:00,6445,6480,6400,6420,1189,2172
10/18/2018,14:00,6430,6480,6330,6390,2759,2149
10/19/2018,14:00,6375,6405,6340,6380,1108,2105
10/22/2018,14:00,6415,6445,6360,6395,1752,1894
10/23/2018,14:00,6400,6425,6350,6395,1492,1736
10/24/2018,14:00,6395,6490,6380,6425,2799,1370
10/25/2018,14:00,6420,6420,6315,6405,2486,662
10/26/2018,14:00,6395,6455,6375,6392,730,400
