"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,220.525,220.525,220.525,220.525,0,1
02/28/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/01/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/02/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/05/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/06/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/07/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/08/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/09/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/12/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/13/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/14/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/15/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/16/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/19/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/20/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/21/2018,14:00,220.525,220.525,220.525,220.525,0,1
03/22/2018,14:00,224.000,224.000,224.000,224.000,0,1
03/23/2018,14:00,224.000,224.000,224.000,224.000,0,1
03/26/2018,14:00,224.000,224.000,224.000,224.000,0,1
03/27/2018,14:00,224.000,224.000,224.000,224.000,0,1
03/28/2018,14:00,224.000,224.000,224.000,224.000,0,1
03/29/2018,14:00,224.000,224.000,224.000,224.000,0,1
04/02/2018,14:00,224.000,224.000,224.000,224.000,0,1
04/03/2018,14:00,230.000,230.000,230.000,230.000,3,4
04/04/2018,14:00,230.000,230.000,230.000,230.000,0,4
04/05/2018,14:00,230.000,230.000,230.000,230.000,2,6
04/06/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/09/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/10/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/11/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/12/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/13/2018,14:00,230.000,230.000,230.000,230.000,0,6
04/16/2018,14:00,230.000,230.000,230.000,230.000,2,8
04/17/2018,14:00,230.000,230.000,230.000,230.000,0,8
04/18/2018,14:00,230.000,230.000,230.000,230.000,0,8
04/19/2018,14:00,230.000,230.000,230.000,230.000,0,8
04/20/2018,14:00,230.000,230.000,230.000,230.000,0,8
04/23/2018,14:00,231.725,231.725,231.725,231.725,0,8
04/24/2018,14:00,235.250,235.250,235.250,235.250,0,8
04/25/2018,14:00,235.250,235.250,235.250,235.250,0,8
04/26/2018,14:00,235.275,235.275,235.275,235.275,0,8
04/27/2018,14:00,235.275,235.275,235.275,235.275,0,8
04/30/2018,14:00,235.275,235.275,235.275,235.275,0,8
05/01/2018,14:00,235.275,235.275,235.275,235.275,0,8
05/02/2018,14:00,235.275,235.275,235.275,235.275,0,8
05/03/2018,14:00,235.275,235.275,235.275,235.275,4,10
05/04/2018,14:00,235.275,235.275,235.275,235.275,0,10
05/07/2018,14:00,235.275,235.275,235.275,235.275,0,10
05/08/2018,14:00,235.275,235.275,235.275,235.275,0,10
05/09/2018,14:00,235.275,235.275,235.275,235.275,0,10
05/10/2018,14:00,235.000,235.000,235.000,235.000,7,17
05/11/2018,14:00,235.000,235.000,235.000,235.000,0,17
05/14/2018,14:00,235.000,235.000,235.000,235.000,0,17
05/15/2018,14:00,235.075,235.075,235.075,235.075,0,17
05/16/2018,14:00,235.075,235.075,235.075,235.075,0,17
