"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,16.02,16.04,15.91,15.95,15,1329
03/01/2018,14:00,15.95,15.95,15.95,15.95,3,1331
03/02/2018,14:00,15.95,15.95,15.95,15.95,0,1331
03/05/2018,14:00,15.94,15.95,15.94,15.95,11,1335
03/06/2018,14:00,15.90,15.90,15.88,15.90,12,1341
03/07/2018,14:00,15.90,15.91,15.84,15.88,15,1346
03/08/2018,14:00,15.82,15.90,15.82,15.87,4,1345
03/09/2018,14:00,15.85,15.89,15.85,15.89,4,1347
03/12/2018,14:00,15.86,15.90,15.85,15.88,47,1383
03/13/2018,14:00,15.89,15.89,15.84,15.89,23,1391
03/14/2018,14:00,15.88,15.88,15.81,15.86,48,1430
03/15/2018,14:00,15.90,15.93,15.90,15.91,31,1422
03/16/2018,14:00,15.93,15.98,15.93,15.97,31,1422
03/19/2018,14:00,15.99,16.00,15.97,16.00,18,1439
03/20/2018,14:00,15.93,16.04,15.93,15.98,21,1457
03/21/2018,14:00,15.95,16.02,15.95,16.02,9,1465
03/22/2018,14:00,15.95,15.99,15.93,15.93,18,1470
03/23/2018,14:00,15.90,15.91,15.84,15.91,56,1509
03/26/2018,14:00,15.95,15.98,15.95,15.95,7,1515
03/27/2018,14:00,15.96,15.97,15.95,15.95,50,1546
03/28/2018,14:00,15.95,15.95,15.95,15.95,4,1546
03/29/2018,14:00,15.87,15.91,15.86,15.90,21,1552
04/02/2018,14:00,15.91,15.98,15.91,15.97,21,1560
04/03/2018,14:00,15.99,16.06,15.99,16.05,33,1579
04/04/2018,14:00,16.02,16.12,16.02,16.10,58,1623
04/05/2018,14:00,16.10,16.14,16.05,16.09,95,1706
04/06/2018,14:00,16.09,16.17,16.04,16.09,95,1706
04/09/2018,14:00,16.12,16.19,16.12,16.15,38,1724
04/10/2018,14:00,16.20,16.23,16.14,16.15,89,1722
04/11/2018,14:00,16.10,16.13,16.07,16.09,51,1752
04/12/2018,14:00,16.10,16.17,16.07,16.11,21,1759
04/13/2018,14:00,16.17,16.21,16.16,16.19,36,1776
04/16/2018,14:00,16.17,16.26,16.17,16.22,27,1792
04/17/2018,14:00,16.22,16.37,16.22,16.36,72,1836
04/18/2018,14:00,16.36,16.38,16.32,16.37,50,1838
04/19/2018,14:00,16.39,16.41,16.28,16.39,30,1879
04/20/2018,14:00,16.35,16.37,16.30,16.35,30,1879
04/23/2018,14:00,16.40,16.50,16.40,16.47,114,1873
04/24/2018,14:00,16.49,16.52,16.46,16.52,53,1865
04/25/2018,14:00,16.50,16.52,16.41,16.49,48,1865
04/26/2018,14:00,16.46,16.50,16.41,16.48,46,1876
04/27/2018,14:00,16.49,16.56,16.48,16.56,62,1892
04/30/2018,14:00,16.57,16.59,16.57,16.59,21,1902
05/01/2018,14:00,16.56,16.60,16.53,16.56,15,1911
05/02/2018,14:00,16.57,16.64,16.56,16.63,121,1948
05/03/2018,14:00,16.54,16.60,16.52,16.57,91,1987
05/04/2018,14:00,16.56,16.58,16.55,16.57,91,1987
05/07/2018,14:00,16.65,16.72,16.65,16.72,65,2025
05/08/2018,14:00,16.72,16.75,16.71,16.74,19,2028
05/09/2018,14:00,16.77,16.83,16.76,16.83,51,2057
05/10/2018,14:00,16.81,16.81,16.62,16.65,43,2070
05/11/2018,14:00,16.69,16.75,16.63,16.63,34,2087
05/14/2018,14:00,16.77,16.82,16.77,16.80,45,2121
05/15/2018,14:00,16.86,16.96,16.86,16.95,51,2157
05/16/2018,14:00,16.95,17.05,16.79,16.95,141,2242
05/17/2018,14:00,16.95,16.95,16.74,16.82,63,2261
05/18/2018,14:00,16.79,16.82,16.74,16.81,35,2278
05/21/2018,14:00,16.81,16.94,16.81,16.92,54,2289
05/22/2018,14:00,16.95,16.99,16.92,16.97,40,2319
05/23/2018,14:00,16.95,16.95,16.89,16.91,24,2323
05/24/2018,14:00,16.90,16.90,16.82,16.90,21,2328
05/25/2018,14:00,16.85,16.85,16.79,16.83,21,2328
05/29/2018,14:00,16.83,16.92,16.83,16.92,79,2365
05/30/2018,14:00,16.88,16.93,16.87,16.92,78,2403
05/31/2018,14:00,16.92,16.92,16.85,16.90,62,2445
06/01/2018,14:00,16.89,16.89,16.79,16.83,71,2416
06/04/2018,14:00,16.80,16.80,16.67,16.76,127,2465
06/05/2018,14:00,16.67,16.75,16.46,16.48,272,2566
06/06/2018,14:00,16.43,16.66,16.43,16.62,83,2572
06/07/2018,14:00,16.67,16.89,16.55,16.83,230,2571
06/08/2018,14:00,16.88,16.95,16.83,16.86,197,2630
06/11/2018,14:00,16.85,16.86,16.73,16.77,40,2637
06/12/2018,14:00,16.72,16.76,16.67,16.75,182,2654
06/13/2018,14:00,16.75,16.76,16.69,16.71,52,2667
06/14/2018,14:00,16.79,16.80,16.61,16.65,92,2670
06/15/2018,14:00,16.64,16.64,16.36,16.47,150,2692
06/18/2018,14:00,16.36,16.36,16.11,16.16,164,2668
06/19/2018,14:00,16.13,16.20,16.00,16.19,141,2632
06/20/2018,14:00,16.19,16.29,16.07,16.17,101,2590
06/21/2018,14:00,16.18,16.18,16.02,16.13,43,2583
06/22/2018,14:00,16.06,16.10,16.02,16.02,81,2586
06/25/2018,14:00,16.00,16.00,15.74,15.75,490,2594
06/26/2018,14:00,15.73,15.83,15.69,15.77,201,2673
06/27/2018,14:00,15.81,16.05,15.78,16.03,228,2755
06/28/2018,14:00,16.06,16.19,15.98,16.07,114,2763
06/29/2018,14:00,16.01,16.10,15.90,16.06,144,2742
07/02/2018,14:00,16.10,16.17,15.93,15.97,38,2748
07/03/2018,14:00,15.98,15.98,15.69,15.70,144,2754
07/05/2018,14:00,15.73,15.73,15.55,15.57,139,2772
07/06/2018,14:00,15.56,15.62,15.41,15.43,149,2792
07/09/2018,14:00,15.43,15.47,15.21,15.35,253,2891
07/10/2018,14:00,15.31,15.40,15.20,15.33,92,2933
07/11/2018,14:00,15.25,15.44,15.21,15.37,66,2953
07/12/2018,14:00,15.50,15.65,15.49,15.57,66,2944
07/13/2018,14:00,15.60,15.60,15.46,15.49,60,2956
07/16/2018,14:00,15.53,15.72,15.53,15.71,22,2956
07/17/2018,14:00,15.70,15.87,15.59,15.67,201,3002
07/18/2018,14:00,15.76,16.03,15.76,15.94,188,2996
07/19/2018,14:00,16.00,16.06,15.81,15.84,125,2995
07/20/2018,14:00,15.98,16.02,15.86,15.87,145,3029
07/23/2018,14:00,15.93,16.01,15.89,15.90,47,3010
07/24/2018,14:00,15.91,16.23,15.87,16.12,101,3056
07/25/2018,14:00,16.23,16.38,16.11,16.21,192,3091
07/26/2018,14:00,16.22,16.22,16.11,16.14,103,3090
07/27/2018,14:00,16.11,16.25,16.05,16.13,103,3090
07/30/2018,14:00,16.16,16.23,16.08,16.20,83,3127
07/31/2018,14:00,16.17,16.24,16.15,16.18,61,3152
08/01/2018,14:00,16.21,16.38,16.04,16.33,173,3189
08/02/2018,14:00,16.38,16.44,16.24,16.24,117,3236
08/03/2018,14:00,16.26,16.31,16.13,16.18,117,3236
08/06/2018,14:00,16.10,16.10,15.97,15.97,127,3279
08/07/2018,14:00,15.97,16.09,15.93,16.04,183,3359
08/08/2018,14:00,16.05,16.21,15.97,16.18,158,3435
08/09/2018,14:00,16.22,16.46,16.22,16.36,233,3525
08/10/2018,14:00,16.40,16.51,16.36,16.43,257,3618
08/13/2018,14:00,16.40,16.44,16.20,16.26,166,3660
08/14/2018,14:00,16.30,16.35,16.14,16.31,174,3684
08/15/2018,14:00,16.31,16.31,16.12,16.16,109,3722
08/16/2018,14:00,16.16,16.28,15.99,16.09,323,3691
08/17/2018,14:00,16.05,16.18,16.00,16.02,141,3722
08/20/2018,14:00,16.01,16.10,15.88,16.01,218,3795
08/21/2018,14:00,16.07,16.12,15.90,16.04,164,3854
08/22/2018,14:00,16.04,16.10,15.87,15.95,140,3911
08/23/2018,14:00,15.99,16.30,15.99,16.30,250,3843
