"Date","Time","Open","High","Low","Close","Vol","OI"
06/14/2019,14:00,97.570,97.570,97.570,97.570,0,0
06/18/2019,14:00,95.926,95.926,95.926,95.926,0,0
06/19/2019,14:00,95.362,95.362,95.362,95.362,0,0
06/20/2019,14:00,95.008,95.008,95.008,95.008,0,0
06/21/2019,14:00,94.588,94.588,94.588,94.588,0,0
06/24/2019,14:00,94.372,94.372,94.372,94.372,0,0
06/25/2019,14:00,94.470,94.655,94.405,94.533,18,10
06/26/2019,14:00,94.605,94.605,94.605,94.605,0,10
06/27/2019,14:00,94.532,94.532,94.532,94.532,0,10
06/28/2019,14:00,94.456,94.456,94.456,94.456,0,10
07/01/2019,14:00,95.166,95.166,95.166,95.166,0,10
07/02/2019,14:00,95.029,95.029,95.029,95.029,0,10
07/03/2019,14:00,95.066,95.066,95.066,95.066,0,10
07/05/2019,14:00,95.540,95.540,95.540,95.540,0,10
07/08/2019,14:00,95.619,95.619,95.619,95.619,0,10
07/09/2019,14:00,95.730,95.730,95.730,95.730,0,10
07/10/2019,14:00,95.351,95.351,95.351,95.351,0,10
07/11/2019,14:00,95.312,95.312,95.312,95.312,0,10
07/12/2019,14:00,95.079,95.079,95.079,95.079,0,10
07/15/2019,14:00,95.200,95.200,95.200,95.200,0,10
07/16/2019,14:00,95.693,95.693,95.693,95.693,0,10
07/17/2019,14:00,95.498,95.498,95.498,95.498,0,10
07/18/2019,14:00,95.109,95.109,95.109,95.109,0,10
07/19/2019,14:00,95.477,95.477,95.477,95.477,0,10
07/22/2019,14:00,95.597,95.597,95.597,95.597,0,10
07/23/2019,14:00,96.033,96.033,96.033,96.033,0,10
07/24/2019,14:00,95.935,96.059,95.900,96.059,60,66
07/25/2019,14:00,95.945,96.157,95.940,96.157,20,86
07/26/2019,14:00,96.346,96.346,96.346,96.346,0,86
07/29/2019,14:00,96.391,96.391,96.391,96.391,0,86
07/30/2019,14:00,96.390,96.390,96.390,96.390,0,86
07/31/2019,14:00,96.838,96.838,96.838,96.838,0,86
08/01/2019,14:00,97.190,97.190,96.729,96.729,31,116
08/02/2019,14:00,96.810,96.810,96.457,96.457,61,176
08/05/2019,14:00,96.058,96.058,96.058,96.058,0,176
08/06/2019,14:00,96.075,96.176,96.075,96.176,10,176
08/08/2019,14:00,96.185,96.255,96.185,96.255,1,177
08/09/2019,14:00,96.142,96.142,96.142,96.142,0,177
08/12/2019,14:00,96.018,96.018,96.018,96.018,0,177
08/13/2019,14:00,96.446,96.446,96.446,96.446,0,177
08/14/2019,14:00,96.631,96.631,96.631,96.631,0,177
08/16/2019,14:00,96.822,96.822,96.822,96.822,0,177
08/19/2019,14:00,97.036,97.036,97.036,97.036,0,177
08/20/2019,14:00,96.883,96.883,96.883,96.883,0,177
08/21/2019,14:00,96.986,96.986,96.986,96.986,0,177
08/22/2019,14:00,96.864,96.864,96.864,96.864,0,177
08/23/2019,14:00,96.990,96.990,96.325,96.325,22,197
08/26/2019,14:00,96.520,96.794,96.500,96.794,5,197
08/27/2019,14:00,96.705,96.705,96.705,96.705,0,197
08/28/2019,14:00,96.915,96.915,96.915,96.915,0,197
08/29/2019,14:00,97.242,97.242,97.242,97.242,0,197
