"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,89.475,89.800,89.475,89.776,75,591
03/01/2018,14:00,89.870,90.050,89.340,89.501,30,600
03/02/2018,14:00,89.380,89.440,89.090,89.131,44,596
03/05/2018,14:00,89.225,89.340,89.050,89.261,18,607
03/06/2018,14:00,89.150,89.150,88.695,88.770,20,614
03/07/2018,14:00,88.700,88.810,88.600,88.800,13,627
03/08/2018,14:00,88.865,89.351,88.635,89.351,27,635
03/09/2018,14:00,89.395,89.525,89.245,89.245,34,659
03/12/2018,14:00,89.225,89.300,89.030,89.030,24,664
03/13/2018,14:00,89.100,89.210,88.715,88.798,18,667
03/14/2018,14:00,88.900,89.000,88.810,88.827,51,712
03/15/2018,14:00,88.820,89.281,88.820,89.281,321,805
03/16/2018,14:00,89.310,89.515,89.115,89.367,65,844
03/19/2018,14:00,89.440,89.500,88.912,88.912,38,856
03/20/2018,14:00,89.000,89.539,89.000,89.539,57,884
03/21/2018,14:00,89.535,89.545,88.800,88.944,142,889
03/22/2018,14:00,88.750,89.050,88.600,89.048,68,894
03/23/2018,14:00,88.800,88.815,88.585,88.628,32,900
03/26/2018,14:00,88.625,88.650,88.199,88.199,94,949
03/27/2018,14:00,88.285,88.740,88.190,88.578,105,935
03/28/2018,14:00,88.725,89.400,88.600,89.294,202,967
03/29/2018,14:00,89.265,89.395,89.175,89.392,123,1008
04/02/2018,14:00,89.160,89.380,89.125,89.291,30,995
04/03/2018,14:00,89.295,89.535,89.295,89.439,30,996
04/04/2018,14:00,89.380,89.445,89.150,89.358,53,983
04/05/2018,14:00,89.385,89.815,89.370,89.719,95,967
04/06/2018,14:00,89.655,89.780,89.330,89.357,99,981
04/09/2018,14:00,89.435,89.500,89.095,89.114,178,1005
04/10/2018,14:00,89.095,89.110,88.825,88.870,49,1016
04/11/2018,14:00,88.865,88.920,88.645,88.833,226,1021
04/12/2018,14:00,88.790,89.240,88.790,89.031,210,1087
04/13/2018,14:00,89.075,89.150,89.000,89.078,57,1099
04/16/2018,14:00,89.050,89.075,88.685,88.710,85,1128
04/17/2018,14:00,88.655,88.930,88.515,88.798,106,1121
04/18/2018,14:00,88.780,89.045,88.745,88.927,59,1122
04/19/2018,14:00,88.950,89.260,88.865,89.260,25,1130
04/20/2018,14:00,89.185,89.785,89.175,89.625,695,1308
04/23/2018,14:00,89.660,90.310,89.635,90.255,284,1318
04/24/2018,14:00,90.275,90.370,90.045,90.082,319,1285
04/25/2018,14:00,90.120,90.585,90.120,90.498,199,1367
04/26/2018,14:00,90.525,90.950,90.285,90.915,235,1411
04/27/2018,14:00,90.950,91.270,90.830,90.893,175,1408
04/30/2018,14:00,90.955,91.250,90.840,91.180,62,1417
05/01/2018,14:00,91.215,91.890,91.215,91.805,200,1449
05/02/2018,14:00,91.820,92.180,91.600,91.884,131,1493
05/03/2018,14:00,92.150,92.150,91.745,91.796,157,1512
05/04/2018,14:00,91.830,92.260,91.750,91.953,163,1547
05/07/2018,14:00,91.970,92.355,91.850,92.147,121,1584
05/08/2018,14:00,92.105,92.680,92.070,92.513,246,1605
05/09/2018,14:00,92.540,92.800,92.255,92.439,249,1662
05/10/2018,14:00,92.560,92.595,91.960,92.071,314,1704
05/11/2018,14:00,92.090,92.180,91.785,91.966,179,1728
05/14/2018,14:00,91.900,92.110,91.670,92.007,347,1749
05/15/2018,14:00,92.070,92.895,92.055,92.647,676,1721
05/16/2018,14:00,92.805,93.075,92.595,92.836,672,2069
05/17/2018,14:00,92.760,93.020,92.580,92.930,245,2126
05/18/2018,14:00,92.945,93.285,92.880,93.099,185,2151
05/21/2018,14:00,93.150,93.520,92.975,93.136,1407,2225
05/22/2018,14:00,93.000,93.160,92.765,93.066,463,2373
05/23/2018,14:00,93.010,93.655,93.010,93.453,861,2647
05/24/2018,14:00,93.380,93.450,93.095,93.236,1028,2371
05/25/2018,14:00,93.250,93.755,93.250,93.670,389,2390
05/28/2018,14:00,93.625,93.960,93.345,93.670,389,2546
05/29/2018,14:00,93.885,94.500,93.780,94.339,959,2450
05/30/2018,14:00,94.350,94.465,93.555,93.670,705,2461
05/31/2018,14:00,93.590,93.755,93.250,93.514,1491,2791
06/01/2018,14:00,93.505,93.980,93.410,93.729,1670,3361
06/04/2018,14:00,93.700,93.725,93.190,93.541,1265,3825
06/05/2018,14:00,93.545,93.860,93.315,93.426,1161,4146
06/06/2018,14:00,93.355,93.410,92.955,93.209,2288,5013
06/07/2018,14:00,93.110,93.120,92.760,92.941,2282,5550
06/08/2018,14:00,93.025,93.395,92.960,93.117,3186,6849
06/11/2018,14:00,93.145,93.255,92.915,93.165,7781,11519
06/12/2018,14:00,93.275,93.520,93.050,93.406,5831,14369
06/13/2018,14:00,93.440,93.685,93.165,93.359,20806,29151
06/14/2018,14:00,93.140,94.605,92.820,94.426,57029,40426
06/15/2018,14:00,94.620,94.820,94.310,94.447,36388,45017
06/18/2018,14:00,94.495,94.705,94.375,94.457,14938,45959
06/19/2018,14:00,94.345,94.945,94.175,94.729,26769,45327
06/20/2018,14:00,94.645,94.985,94.585,94.716,16231,45725
06/21/2018,14:00,94.790,95.220,94.340,94.404,28338,46345
06/22/2018,14:00,94.550,94.550,94.095,94.180,18567,45454
06/25/2018,14:00,94.150,94.365,93.865,93.939,16304,45364
06/26/2018,14:00,93.950,94.455,93.830,94.346,15302,45656
06/27/2018,14:00,94.375,95.110,94.200,94.969,20158,47599
06/28/2018,14:00,94.970,95.255,94.790,95.096,19785,48080
06/29/2018,14:00,95.025,95.055,94.195,94.349,28276,46853
07/02/2018,14:00,94.300,94.885,94.260,94.779,16215,48143
07/03/2018,14:00,94.590,94.730,94.280,94.412,15034,47756
07/04/2018,14:00,94.320,94.455,94.135,94.412,15034,47636
07/05/2018,14:00,94.270,94.345,93.915,94.223,13953,47146
07/06/2018,14:00,94.125,94.235,93.575,93.769,20097,46203
07/09/2018,14:00,93.730,93.940,93.440,93.807,17464,45667
07/10/2018,14:00,93.805,94.225,93.750,93.889,14451,45909
07/11/2018,14:00,93.955,94.535,93.820,94.486,25186,47849
07/12/2018,14:00,94.485,94.715,94.400,94.564,14680,46934
07/13/2018,14:00,94.640,95.000,94.430,94.500,17713,45592
07/16/2018,14:00,94.455,94.520,94.150,94.272,12032,46019
07/17/2018,14:00,94.290,94.855,94.040,94.704,18655,47127
07/18/2018,14:00,94.800,95.180,94.720,94.811,27546,44588
07/19/2018,14:00,94.820,95.440,94.665,94.942,40045,50405
07/20/2018,14:00,94.905,95.095,94.125,94.226,34872,50140
07/23/2018,14:00,94.195,94.490,93.970,94.440,15262,50275
07/24/2018,14:00,94.425,94.635,94.165,94.388,13352,50034
07/25/2018,14:00,94.375,94.450,93.905,94.129,19406,49393
07/26/2018,14:00,93.940,94.580,93.870,94.544,22628,51110
07/27/2018,14:00,94.545,94.700,94.420,94.460,16051,51681
07/30/2018,14:00,94.485,94.555,94.040,94.111,12396,51056
07/31/2018,14:00,94.120,94.365,93.940,94.275,15480,50624
08/01/2018,14:00,94.355,94.515,94.290,94.428,10724,50823
08/02/2018,14:00,94.450,95.020,94.420,94.987,20487,51580
08/03/2018,14:00,95.010,95.195,94.795,94.961,22967,49622
08/06/2018,14:00,95.045,95.350,95.030,95.187,15081,50622
08/07/2018,14:00,95.170,95.225,94.810,95.046,15096,51323
08/08/2018,14:00,94.990,95.250,94.820,94.890,16853,52117
08/09/2018,14:00,94.955,95.485,94.870,95.355,19152,52509
08/10/2018,14:00,95.480,96.310,95.385,96.218,43652,51567
08/13/2018,14:00,96.250,96.390,96.020,96.251,20274,52058
08/14/2018,14:00,96.210,96.670,96.020,96.605,20760,53898
08/15/2018,14:00,96.550,96.865,96.530,96.577,19018,53620
08/16/2018,14:00,96.615,96.665,96.205,96.536,19619,54100
08/17/2018,14:00,96.500,96.560,95.970,95.981,17245,53238
08/20/2018,14:00,96.050,96.300,95.655,95.789,17935,53324
08/21/2018,14:00,95.625,95.660,94.960,95.150,24690,52035
08/22/2018,14:00,95.095,95.280,94.830,95.051,17928,51762
08/23/2018,14:00,95.080,95.625,95.080,95.583,18332,51667
08/24/2018,14:00,95.570,95.610,94.935,95.063,23597,50797
08/27/2018,14:00,95.080,95.230,94.595,94.684,18839,49133
08/28/2018,14:00,94.660,94.825,94.340,94.635,18564,48245
08/29/2018,14:00,94.630,94.860,94.440,94.522,18772,48537
08/30/2018,14:00,94.455,94.850,94.395,94.679,21374,51226
08/31/2018,14:00,94.655,95.170,94.485,95.083,22210,51488
09/03/2018,14:00,95.115,95.175,94.945,95.083,22210,51786
09/04/2018,14:00,95.105,95.680,95.085,95.380,22201,48033
09/05/2018,14:00,95.350,95.620,94.995,95.124,24328,46346
09/06/2018,14:00,95.040,95.175,94.880,94.988,17385,48736
09/07/2018,14:00,95.000,95.420,94.830,95.329,26395,44161
09/10/2018,14:00,95.385,95.540,94.985,95.110,23112,35059
09/11/2018,14:00,95.130,95.330,94.845,95.225,29316,27940
09/12/2018,14:00,95.110,95.270,94.705,94.768,34874,22892
09/13/2018,14:00,94.850,94.955,94.410,94.517,27956,21943
09/14/2018,14:00,94.560,94.990,94.355,94.925,10467,19624
09/17/2018,14:00,94.925,94.925,94.490,94.486,63,19624
