"Date","Time","Open","High","Low","Close","Vol","OI"
03/28/2019,11:05,149.550,149.550,149.550,149.550,0,0
03/29/2019,11:05,151.250,151.250,151.250,151.250,0,0
04/01/2019,11:05,152.000,153.075,152.000,153.075,7,2
04/02/2019,11:05,153.150,153.175,152.250,152.250,22,14
04/03/2019,11:05,151.225,151.900,151.225,151.650,10,17
04/04/2019,11:05,152.125,152.500,151.725,152.500,27,41
04/05/2019,11:05,152.550,152.550,151.400,152.175,31,59
04/08/2019,11:05,151.775,155.000,151.775,154.000,29,68
04/09/2019,11:05,153.825,154.875,153.325,154.650,46,98
04/10/2019,11:05,154.425,154.625,153.400,154.625,103,155
04/11/2019,11:05,154.475,155.800,153.975,155.800,9,222
04/12/2019,11:05,155.450,155.600,155.450,155.450,9,222
04/15/2019,11:05,155.525,156.000,155.325,156.000,23,231
04/16/2019,11:05,155.675,156.875,155.675,156.600,21,236
04/17/2019,11:05,156.500,156.800,156.100,156.550,43,256
04/18/2019,11:05,157.000,157.625,156.350,157.500,90,293
04/22/2019,11:05,156.975,156.975,155.500,156.100,61,310
04/23/2019,11:05,157.000,157.000,155.975,155.975,38,328
04/24/2019,11:05,155.450,155.450,153.400,153.750,108,364
04/25/2019,11:05,152.800,152.800,150.400,150.400,66,380
04/26/2019,11:05,150.050,151.375,149.825,150.450,92,400
04/29/2019,11:05,150.400,150.400,148.750,148.800,51,399
04/30/2019,11:05,148.050,149.075,147.075,147.175,28,399
05/01/2019,11:05,147.075,147.975,146.750,146.925,34,407
05/02/2019,11:05,145.500,145.500,144.700,144.775,59,436
05/03/2019,11:05,144.375,144.375,143.775,143.775,59,436
05/06/2019,11:05,143.100,143.975,141.375,142.775,136,478
05/07/2019,11:05,143.525,144.350,143.075,143.750,83,491
05/08/2019,11:05,143.500,144.275,141.750,142.050,81,524
05/09/2019,11:05,141.750,142.825,140.750,142.350,183,580
05/10/2019,11:05,142.925,145.675,142.500,144.800,183,580
05/13/2019,11:05,144.175,144.175,142.225,142.250,103,595
05/14/2019,11:05,142.500,143.250,140.900,141.100,70,614
05/15/2019,11:05,141.100,141.350,140.250,140.500,46,618
05/16/2019,11:05,140.400,142.425,139.325,141.625,174,701
05/17/2019,11:05,143.125,144.400,142.950,143.675,174,701
05/20/2019,11:05,144.075,144.075,142.400,143.350,120,712
05/21/2019,11:05,142.825,143.600,141.625,142.050,141,762
05/22/2019,11:05,141.475,142.225,141.300,141.800,45,774
05/23/2019,11:05,142.300,142.375,141.900,142.125,61,783
05/24/2019,11:05,141.975,142.875,141.325,141.725,128,840
05/28/2019,11:05,142.250,142.250,139.925,140.800,199,973
05/29/2019,11:05,139.550,141.000,139.275,140.550,317,1077
05/30/2019,11:05,140.400,141.000,136.400,136.650,612,1401
05/31/2019,11:05,136.650,138.225,132.175,132.775,612,1400
06/03/2019,11:05,133.875,134.475,131.975,132.800,458,1379
06/04/2019,11:05,133.000,136.425,133.000,136.200,142,1446
06/05/2019,11:05,136.725,138.275,135.600,138.175,181,1466
06/06/2019,11:05,138.525,138.675,136.200,138.050,153,1486
06/07/2019,11:05,137.975,138.300,135.050,135.425,121,1471
06/10/2019,11:05,137.500,138.725,137.475,137.975,109,1500
06/11/2019,11:05,137.725,139.150,136.525,137.500,178,1543
06/12/2019,11:05,137.125,137.125,133.700,136.300,244,1586
06/13/2019,11:05,135.375,135.475,133.075,134.225,381,1723
06/14/2019,11:05,133.775,134.250,132.750,133.075,328,1839
06/17/2019,11:05,132.200,134.375,132.025,134.050,252,1827
06/18/2019,11:05,134.525,135.525,134.525,135.100,120,1830
06/19/2019,11:05,135.625,135.700,134.925,135.350,129,1871
06/20/2019,11:05,135.650,135.650,133.575,133.750,97,1918
06/21/2019,11:05,133.575,133.575,131.775,132.700,187,1936
06/24/2019,11:05,131.825,132.050,130.500,130.650,121,1932
06/25/2019,11:05,130.650,131.000,130.175,130.425,100,1931
06/26/2019,11:05,131.475,134.800,131.475,134.650,328,1998
06/27/2019,11:05,134.825,135.175,133.900,133.900,115,1990
06/28/2019,11:05,134.225,136.900,133.175,134.025,200,1953
07/01/2019,11:05,135.150,136.625,134.675,135.775,90,1978
07/02/2019,11:05,136.500,137.200,136.150,136.950,174,2000
07/03/2019,11:05,136.875,136.975,135.000,135.500,115,2023
