"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.97445,0.97445,0.97445,0.97445,0,3
02/28/2018,14:00,0.98115,0.98115,0.98115,0.98115,0,3
03/01/2018,14:00,0.98400,0.98400,0.98400,0.98400,0,3
03/02/2018,14:00,0.99040,0.99040,0.99040,0.99040,0,3
03/05/2018,14:00,0.98445,0.98445,0.98445,0.98445,0,3
03/06/2018,14:00,0.98445,0.98445,0.98445,0.98445,0,3
03/07/2018,14:00,0.98595,0.98595,0.98595,0.98595,0,3
03/08/2018,14:00,0.98390,0.98390,0.98390,0.98390,0,3
03/09/2018,14:00,0.97925,0.97925,0.97925,0.97925,0,3
03/12/2018,14:00,0.98315,0.98315,0.98315,0.98315,0,3
03/13/2018,14:00,0.98085,0.98085,0.98085,0.98085,0,3
03/14/2018,14:00,0.98385,0.98385,0.98385,0.98385,0,3
03/15/2018,14:00,0.98365,0.98365,0.98365,0.98365,0,3
03/16/2018,14:00,0.98530,0.98530,0.98530,0.98530,0,3
03/19/2018,14:00,0.98620,0.98620,0.98620,0.98620,0,3
03/20/2018,14:00,0.98165,0.98165,0.98165,0.98165,0,3
03/21/2018,14:00,0.98470,0.98470,0.98470,0.98470,0,3
03/22/2018,14:00,0.98855,0.98855,0.98855,0.98855,0,3
03/23/2018,14:00,0.99620,0.99620,0.99620,0.99620,0,3
03/26/2018,14:00,0.99220,0.99220,0.99220,0.99220,0,3
03/27/2018,14:00,0.98860,0.98860,0.98860,0.98860,0,3
03/28/2018,14:00,0.97595,0.97595,0.97595,0.97595,0,3
03/29/2018,14:00,0.97950,0.97950,0.97950,0.97950,0,3
04/02/2018,14:00,0.98430,0.98430,0.98430,0.98430,0,3
04/03/2018,14:00,0.97820,0.97820,0.97820,0.97820,0,3
04/04/2018,14:00,0.97710,0.97710,0.97710,0.97710,0,4
04/05/2018,14:00,0.97065,0.97065,0.97065,0.97065,0,3
04/06/2018,14:00,0.97555,0.97555,0.97555,0.97555,0,3
04/09/2018,14:00,0.97610,0.97610,0.97610,0.97610,0,3
04/10/2018,14:00,0.97270,0.97270,0.97270,0.97270,0,3
04/11/2018,14:00,0.97475,0.97475,0.97475,0.97475,0,3
04/12/2018,14:00,0.97265,0.97265,0.97265,0.97265,0,3
04/13/2018,14:00,0.97105,0.97105,0.97105,0.97105,0,3
04/16/2018,14:00,0.97415,0.97415,0.97415,0.97415,0,3
04/17/2018,14:00,0.97450,0.97450,0.97450,0.97450,0,3
04/18/2018,14:00,0.97210,0.97210,0.97210,0.97210,0,3
04/19/2018,14:00,0.97070,0.97070,0.97070,0.97070,0,3
04/20/2018,14:00,0.96920,0.96920,0.96920,0.96920,0,3
04/23/2018,14:00,0.96005,0.96005,0.96005,0.96005,0,3
04/24/2018,14:00,0.95935,0.95935,0.95935,0.95935,0,3
04/25/2018,14:00,0.95350,0.95350,0.95350,0.95350,0,3
04/26/2018,14:00,0.95290,0.95290,0.95290,0.95290,0,3
04/27/2018,14:00,0.95560,0.95560,0.95560,0.95560,0,3
04/30/2018,14:00,0.95340,0.95340,0.95340,0.95340,0,3
05/01/2018,14:00,0.94895,0.94895,0.94895,0.94895,0,3
05/02/2018,14:00,0.94915,0.94915,0.94915,0.94915,0,3
05/03/2018,14:00,0.95345,0.95345,0.95345,0.95345,0,3
05/04/2018,14:00,0.95435,0.95435,0.95435,0.95435,0,3
05/07/2018,14:00,0.95510,0.95510,0.95510,0.95510,0,3
05/08/2018,14:00,0.95500,0.95500,0.95500,0.95500,0,3
05/09/2018,14:00,0.94890,0.94890,0.94890,0.94890,0,3
05/10/2018,14:00,0.95160,0.95160,0.95160,0.95160,0,3
05/11/2018,14:00,0.95210,0.95210,0.95210,0.95210,0,3
05/14/2018,14:00,0.94865,0.94865,0.94865,0.94865,0,3
05/15/2018,14:00,0.94300,0.94300,0.94300,0.94300,0,3
05/16/2018,14:00,0.94400,0.94400,0.94400,0.94400,0,3
05/17/2018,14:00,0.93945,0.93945,0.93945,0.93945,0,3
05/18/2018,14:00,0.94005,0.94005,0.94005,0.94005,0,3
05/21/2018,14:00,0.93645,0.93645,0.93645,0.93645,0,3
05/22/2018,14:00,0.93745,0.93745,0.93745,0.93745,0,3
05/23/2018,14:00,0.94520,0.94520,0.94520,0.94520,0,3
05/24/2018,14:00,0.95120,0.95120,0.95120,0.95120,0,3
05/25/2018,14:00,0.95000,0.95000,0.95000,0.95000,0,3
05/29/2018,14:00,0.95925,0.95925,0.95925,0.95925,0,3
05/30/2018,14:00,0.95390,0.95390,0.95390,0.95390,0,3
05/31/2018,14:00,0.95605,0.95605,0.95605,0.95605,0,3
06/01/2018,14:00,0.94865,0.94865,0.94865,0.94865,0,3
06/04/2018,14:00,0.94685,0.94685,0.94685,0.94685,0,3
06/05/2018,14:00,0.94645,0.94645,0.94645,0.94645,0,3
