"Date","Time","Open","High","Low","Close","Vol","OI"
01/15/2019,14:00,356.40,356.40,356.40,356.40,0,0
01/16/2019,14:00,364.60,364.60,364.60,364.60,0,0
01/17/2019,14:00,365.80,365.80,365.80,365.80,0,0
01/18/2019,14:00,361.70,361.70,361.70,361.70,0,0
01/22/2019,14:00,367.70,367.70,367.70,367.70,0,0
01/23/2019,14:00,372.30,372.30,372.30,372.30,0,0
01/24/2019,14:00,384.30,384.30,384.30,384.30,0,0
01/25/2019,14:00,378.70,378.70,378.70,378.70,0,0
01/28/2019,14:00,381.30,381.30,381.30,381.30,0,0
01/29/2019,14:00,385.70,385.70,385.70,385.70,0,0
01/30/2019,14:00,393.90,393.90,393.90,393.90,0,0
01/31/2019,14:00,393.00,393.00,393.00,393.00,0,0
02/01/2019,14:00,387.20,387.20,387.20,387.20,0,0
02/04/2019,14:00,388.90,388.90,388.90,388.90,0,0
02/05/2019,14:00,396.20,396.20,396.20,396.20,0,0
02/06/2019,14:00,395.90,395.90,395.90,395.90,0,0
02/07/2019,14:00,381.30,381.30,381.30,381.30,0,0
02/08/2019,14:00,377.70,377.70,377.70,377.70,0,0
02/11/2019,14:00,364.20,364.20,364.20,364.20,0,0
02/12/2019,14:00,366.60,366.60,366.60,366.60,0,0
02/13/2019,14:00,381.40,381.40,381.40,381.40,0,0
02/14/2019,14:00,389.20,389.20,389.20,389.20,0,0
02/15/2019,14:00,379.70,379.70,379.70,379.70,0,0
02/19/2019,14:00,371.00,371.00,371.00,371.00,0,0
02/20/2019,14:00,363.80,363.80,363.80,363.80,0,0
02/21/2019,14:00,368.50,368.50,368.50,368.50,0,0
02/22/2019,14:00,371.00,371.00,371.00,371.00,0,0
02/25/2019,14:00,371.40,371.40,371.40,371.40,0,0
02/26/2019,14:00,373.40,373.40,373.40,373.40,0,0
02/27/2019,14:00,373.10,373.10,373.10,373.10,0,0
02/28/2019,14:00,383.50,383.50,383.50,383.50,0,0
03/01/2019,14:00,372.90,372.90,372.90,372.90,0,0
03/04/2019,14:00,357.90,357.90,357.90,357.90,0,0
03/05/2019,14:00,350.80,350.80,350.80,350.80,0,0
03/06/2019,14:00,359.40,359.40,359.40,359.40,0,0
03/07/2019,14:00,369.30,369.30,369.30,369.30,0,0
03/08/2019,14:00,384.30,384.30,384.30,384.30,0,0
03/11/2019,14:00,393.70,393.70,393.70,393.70,0,0
03/12/2019,14:00,379.50,379.50,379.50,379.50,0,0
