"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:05,82.500,82.550,81.175,81.375,4569,26606
03/02/2018,11:05,81.400,81.525,80.350,80.550,4569,26603
03/05/2018,11:05,80.675,81.650,80.475,81.150,4292,26510
03/06/2018,11:05,81.450,81.700,80.650,80.725,3372,26552
03/07/2018,11:05,80.600,80.700,79.275,79.800,6160,27622
03/08/2018,11:05,79.400,79.600,78.425,79.325,6555,29008
03/09/2018,11:05,79.000,80.100,78.650,78.775,6151,30182
03/12/2018,11:05,78.550,78.625,77.825,78.325,5573,30341
03/13/2018,11:05,78.275,79.075,78.250,78.725,6058,30781
03/14/2018,11:05,78.750,80.225,78.450,80.100,4625,32017
03/15/2018,11:05,79.700,81.400,79.450,81.050,4003,32821
03/16/2018,11:05,80.925,81.175,79.450,80.600,4003,32820
03/19/2018,11:05,80.000,80.225,78.650,78.800,4972,33070
03/20/2018,11:05,79.000,79.000,78.100,78.250,4610,32571
03/21/2018,11:05,78.250,78.900,77.575,78.300,5895,31131
03/22/2018,11:05,78.275,78.325,76.550,76.975,5778,30805
03/23/2018,11:05,76.425,76.850,75.150,75.450,6780,30356
03/26/2018,11:05,75.500,76.675,75.150,75.250,3145,30550
03/27/2018,11:05,75.300,76.250,75.100,75.300,4346,30748
03/28/2018,11:05,75.100,78.025,75.000,77.650,5750,30335
03/29/2018,11:05,77.400,77.775,76.875,77.275,6637,29616
04/02/2018,11:05,76.375,76.725,74.600,74.900,4856,29500
04/03/2018,11:05,74.775,74.850,72.850,73.625,8450,30312
04/04/2018,11:05,73.400,75.875,72.450,75.650,6249,31068
04/05/2018,11:05,75.625,76.475,75.350,76.375,7663,31992
04/06/2018,11:05,75.700,76.425,75.400,76.150,7663,31992
04/09/2018,11:05,75.725,79.125,75.725,78.875,7747,32166
04/10/2018,11:05,78.825,79.650,78.100,78.225,7692,31738
04/11/2018,11:05,78.050,79.425,78.050,78.675,5920,30926
04/12/2018,11:05,78.575,79.650,78.025,79.250,8945,29892
04/13/2018,11:05,79.600,79.900,78.950,79.425,7303,29065
04/16/2018,11:05,79.225,79.500,78.025,78.375,5512,28799
04/17/2018,11:05,78.625,79.150,78.200,78.975,5405,28490
04/18/2018,11:05,79.050,81.000,79.050,80.550,8224,28129
04/19/2018,11:05,80.875,80.950,79.575,80.025,5093,29478
04/20/2018,11:05,80.025,80.400,79.325,79.575,5093,29478
04/23/2018,11:05,79.050,79.400,78.425,78.750,4645,30311
04/24/2018,11:05,78.700,78.750,77.750,78.175,6134,30024
04/25/2018,11:05,78.175,78.875,77.725,78.625,5077,30176
04/26/2018,11:05,78.250,78.375,77.425,77.775,5263,30635
04/27/2018,11:05,77.500,78.275,76.250,76.625,6793,31771
04/30/2018,11:05,76.600,76.650,75.750,75.875,7625,32172
05/01/2018,11:05,76.200,76.725,75.575,75.800,7509,30835
05/02/2018,11:05,76.175,76.650,75.425,75.750,5566,30476
05/03/2018,11:05,76.050,77.300,75.500,75.550,4563,30305
05/04/2018,11:05,75.575,76.275,75.250,75.600,4563,30305
05/07/2018,11:05,75.725,76.600,75.125,76.050,6818,31304
05/08/2018,11:05,76.600,77.925,76.150,77.725,11727,32528
05/09/2018,11:05,77.850,78.250,76.975,77.325,10255,33090
05/10/2018,11:05,77.075,78.000,77.000,77.900,10325,34240
05/11/2018,11:05,77.900,78.000,76.550,76.950,9963,35819
05/14/2018,11:05,77.175,78.425,77.075,78.375,5663,36605
05/15/2018,11:05,78.225,78.525,76.325,77.450,10133,38119
05/16/2018,11:05,77.625,78.050,76.975,77.850,8475,39727
05/17/2018,11:05,77.500,77.825,77.175,77.625,10307,40562
05/18/2018,11:05,77.650,77.875,75.850,76.625,8262,41440
05/21/2018,11:05,77.000,77.450,74.875,76.050,9314,41765
05/22/2018,11:05,75.450,75.450,74.125,74.350,8896,43165
05/23/2018,11:05,74.350,75.875,74.200,75.025,15369,46541
05/24/2018,11:05,74.950,75.500,74.175,75.350,6814,48700
05/25/2018,11:05,75.250,76.375,75.025,76.075,6814,48700
05/29/2018,11:05,76.050,77.950,76.050,77.425,9553,49293
05/30/2018,11:05,77.800,78.900,77.525,78.700,11225,48645
05/31/2018,11:05,78.475,78.775,76.450,77.025,15482,50584
06/01/2018,11:05,77.275,77.825,76.325,77.525,12731,53407
06/04/2018,11:05,77.525,77.675,75.200,76.475,14060,54745
06/05/2018,11:05,75.000,75.850,74.000,75.650,17126,56132
06/06/2018,11:05,75.625,78.075,75.475,77.625,16945,57787
06/07/2018,11:05,77.650,77.650,76.350,76.575,25087,60689
06/08/2018,11:05,77.250,77.600,76.700,77.125,19991,61704
06/11/2018,11:05,77.175,77.975,74.875,75.550,25805,62659
06/12/2018,11:05,75.750,77.675,75.100,77.525,27235,67049
06/13/2018,11:05,77.625,79.750,77.600,79.650,31108,71061
06/14/2018,11:05,79.700,80.000,78.050,78.600,21175,71473
06/15/2018,11:05,78.050,79.500,77.350,78.250,20628,71087
06/18/2018,11:05,78.425,79.475,78.000,79.425,19274,74580
06/19/2018,11:05,78.200,78.575,76.875,77.725,25314,76887
06/20/2018,11:05,77.500,77.800,74.725,75.150,25047,76933
06/21/2018,11:05,74.700,75.825,74.150,75.725,21620,77941
06/22/2018,11:05,75.475,75.475,74.525,75.375,14864,77939
06/25/2018,11:05,75.000,75.000,73.275,73.600,19346,76361
06/26/2018,11:05,73.600,75.650,73.600,74.750,23230,76175
06/27/2018,11:05,74.825,75.250,74.300,75.050,15128,76427
06/28/2018,11:05,74.825,76.250,74.650,75.725,15623,76198
06/29/2018,11:05,74.675,76.925,74.400,76.450,26932,76441
07/02/2018,11:05,76.300,77.175,73.825,74.375,33537,75118
07/03/2018,11:05,74.900,76.575,74.300,76.000,21225,73086
07/05/2018,11:05,76.000,76.850,75.350,76.050,18102,71574
07/06/2018,11:05,75.475,76.975,75.250,75.425,20053,70940
07/09/2018,11:05,75.775,75.850,72.550,72.775,30345,66962
07/10/2018,11:05,72.750,72.750,69.775,69.775,41417,63532
07/11/2018,11:05,69.550,70.475,68.525,68.800,34847,56119
07/12/2018,11:05,69.500,71.050,69.250,70.425,28284,51027
07/13/2018,11:05,70.375,71.200,70.075,70.150,23602,47001
07/16/2018,11:05,70.100,70.775,69.075,69.200,16033,43659
07/17/2018,11:05,69.725,69.975,67.725,67.900,20047,40570
07/18/2018,11:05,68.150,68.225,67.100,67.200,19236,37672
07/19/2018,11:05,67.525,68.475,66.850,67.250,17311,35236
07/20/2018,11:05,66.600,67.050,65.650,66.450,12037,33247
07/23/2018,11:05,66.500,67.125,66.325,66.425,11369,32065
07/24/2018,11:05,66.525,66.825,65.300,65.550,12182,29432
07/25/2018,11:05,66.100,66.750,65.575,66.400,5724,28821
07/26/2018,11:05,65.950,66.875,64.600,64.900,6648,24473
07/27/2018,11:05,64.225,64.450,63.525,63.650,6648,24548
07/30/2018,11:05,63.975,64.025,63.200,63.300,5685,23091
07/31/2018,11:05,62.700,62.700,60.875,61.125,10107,20497
08/01/2018,11:05,61.000,61.000,59.675,60.250,7696,19112
08/02/2018,11:05,59.875,59.900,58.675,58.975,5961,14980
08/03/2018,11:05,58.875,59.050,58.025,58.500,5961,15115
08/06/2018,11:05,58.450,58.700,56.400,56.600,5505,12998
08/07/2018,11:05,56.775,56.950,55.750,55.800,4748,11526
08/08/2018,11:05,55.350,55.425,54.400,54.800,4707,10691
08/09/2018,11:05,54.450,55.800,54.275,54.975,4563,9231
08/10/2018,11:05,55.150,55.625,54.700,54.800,1953,8831
08/13/2018,11:05,55.125,55.850,55.125,55.525,2846,7992
08/14/2018,11:05,55.325,55.450,54.950,55.000,1699,7494
