"Date","Time","Open","High","Low","Close","Vol","OI"
12/04/2018,14:00,0.6999,0.6999,0.6999,0.6999,0,0
12/06/2018,14:00,0.6934,0.6934,0.6934,0.6934,0,0
12/07/2018,14:00,0.6929,0.6929,0.6929,0.6929,0,0
12/10/2018,14:00,0.6934,0.6934,0.6934,0.6934,0,0
12/11/2018,14:00,0.6942,0.6942,0.6942,0.6942,0,0
12/12/2018,14:00,0.6914,0.6914,0.6914,0.6914,0,0
12/13/2018,14:00,0.6915,0.6915,0.6915,0.6915,0,0
12/14/2018,14:00,0.6857,0.6857,0.6857,0.6857,0,0
12/17/2018,14:00,0.6863,0.6863,0.6863,0.6863,0,0
12/18/2018,14:00,0.6897,0.6897,0.6897,0.6897,0,0
12/19/2018,14:00,0.6855,0.6855,0.6855,0.6855,0,0
12/20/2018,14:00,0.6837,0.6837,0.6837,0.6837,0,0
12/21/2018,14:00,0.6768,0.6768,0.6768,0.6768,0,0
12/24/2018,14:00,0.6772,0.6772,0.6772,0.6772,0,0
12/26/2018,14:00,0.6769,0.6769,0.6769,0.6769,0,0
12/27/2018,14:00,0.6745,0.6745,0.6745,0.6745,0,0
12/28/2018,14:00,0.6757,0.6757,0.6757,0.6757,0,0
12/31/2018,14:00,0.6760,0.6760,0.6760,0.6760,0,0
01/02/2019,14:00,0.6708,0.6708,0.6708,0.6708,0,0
01/03/2019,14:00,0.6732,0.6732,0.6732,0.6732,0,0
01/04/2019,14:00,0.6790,0.6790,0.6790,0.6790,0,0
01/07/2019,14:00,0.6802,0.6802,0.6802,0.6802,0,0
01/08/2019,14:00,0.6776,0.6776,0.6776,0.6776,0,0
01/09/2019,14:00,0.6852,0.6852,0.6852,0.6852,0,0
01/10/2019,14:00,0.6833,0.6833,0.6833,0.6833,0,0
01/11/2019,14:00,0.6884,0.6884,0.6884,0.6884,0,0
01/14/2019,14:00,0.6877,0.6877,0.6877,0.6877,0,0
01/15/2019,14:00,0.6869,0.6869,0.6869,0.6869,0,0
01/16/2019,14:00,0.6843,0.6843,0.6843,0.6843,0,0
01/17/2019,14:00,0.6826,0.6826,0.6826,0.6826,0,0
01/18/2019,14:00,0.6803,0.6803,0.6803,0.6803,0,0
01/22/2019,14:00,0.6777,0.6777,0.6777,0.6777,0,0
01/23/2019,14:00,0.6845,0.6845,0.6845,0.6845,0,0
01/24/2019,14:00,0.6816,0.6816,0.6816,0.6816,0,0
01/25/2019,14:00,0.6903,0.6903,0.6903,0.6903,0,0
01/28/2019,14:00,0.6884,0.6884,0.6884,0.6884,0,0
01/29/2019,14:00,0.6882,0.6882,0.6882,0.6882,0,0
01/30/2019,14:00,0.6966,0.6966,0.6966,0.6966,0,0
01/31/2019,14:00,0.6956,0.6956,0.6956,0.6956,0,0
02/01/2019,14:00,0.6949,0.6949,0.6949,0.6949,0,0
02/04/2019,14:00,0.6938,0.6938,0.6938,0.6938,0,0
02/05/2019,14:00,0.6943,0.6943,0.6943,0.6943,0,0
02/06/2019,14:00,0.6884,0.6884,0.6884,0.6884,0,0
02/07/2019,14:00,0.6811,0.6811,0.6811,0.6811,0,0
02/08/2019,14:00,0.6806,0.6806,0.6806,0.6806,0,0
02/11/2019,14:00,0.6789,0.6789,0.6789,0.6789,0,0
02/12/2019,14:00,0.6791,0.6791,0.6791,0.6791,0,0
02/13/2019,14:00,0.6856,0.6856,0.6856,0.6856,0,0
02/14/2019,14:00,0.6892,0.6892,0.6892,0.6892,0,0
02/15/2019,14:00,0.6917,0.6917,0.6917,0.6917,0,0
02/19/2019,14:00,0.6933,0.6933,0.6933,0.6933,0,0
02/20/2019,14:00,0.6920,0.6920,0.6920,0.6920,0,0
02/21/2019,14:00,0.6857,0.6857,0.6857,0.6857,0,0
02/22/2019,14:00,0.6895,0.6895,0.6895,0.6895,0,0
02/25/2019,14:00,0.6938,0.6938,0.6938,0.6938,0,0
02/26/2019,14:00,0.6949,0.6949,0.6949,0.6949,0,0
02/27/2019,14:00,0.6893,0.6893,0.6893,0.6893,0,0
02/28/2019,14:00,0.6860,0.6860,0.6860,0.6860,0,0
03/01/2019,14:00,0.6853,0.6853,0.6853,0.6853,0,0
03/04/2019,14:00,0.6870,0.6870,0.6870,0.6870,0,0
03/05/2019,14:00,0.6852,0.6852,0.6852,0.6852,0,0
03/06/2019,14:00,0.6823,0.6823,0.6823,0.6823,0,0
03/07/2019,14:00,0.6799,0.6799,0.6799,0.6799,0,0
03/08/2019,14:00,0.6858,0.6858,0.6858,0.6858,0,0
03/11/2019,14:00,0.6879,0.6879,0.6879,0.6879,0,0
03/12/2019,14:00,0.6921,0.6921,0.6921,0.6921,0,0
03/13/2019,14:00,0.6906,0.6906,0.6906,0.6906,0,0
03/14/2019,14:00,0.6870,0.6870,0.6870,0.6870,0,0
03/15/2019,14:00,0.6895,0.6895,0.6895,0.6895,0,0
03/18/2019,14:00,0.6898,0.6898,0.6898,0.6898,0,0
03/19/2019,14:00,0.6906,0.6906,0.6906,0.6906,0,0
03/20/2019,14:00,0.6963,0.6963,0.6963,0.6963,0,0
03/21/2019,14:00,0.6922,0.6922,0.6922,0.6922,0,0
03/22/2019,14:00,0.6918,0.6918,0.6918,0.6918,0,0
03/25/2019,14:00,0.6944,0.6944,0.6944,0.6944,0,0
03/26/2019,14:00,0.6955,0.6955,0.6955,0.6955,0,0
03/27/2019,14:00,0.6852,0.6852,0.6852,0.6852,0,0
03/28/2019,14:00,0.6838,0.6838,0.6838,0.6838,0,0
03/29/2019,14:00,0.6863,0.6863,0.6863,0.6863,0,0
04/01/2019,14:00,0.6867,0.6867,0.6867,0.6867,0,0
04/02/2019,14:00,0.6802,0.6802,0.6802,0.6802,0,0
04/03/2019,14:00,0.6841,0.6841,0.6841,0.6841,0,0
04/04/2019,14:00,0.6812,0.6812,0.6812,0.6812,0,0
04/05/2019,14:00,0.6784,0.6784,0.6784,0.6784,0,0
