"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,11:00,145.00,145.00,140.90,141.45,244,1581
03/02/2018,11:00,141.00,141.05,138.70,139.35,298,1607
03/05/2018,11:00,139.60,141.90,138.70,140.45,164,1647
03/06/2018,11:00,140.50,143.10,140.45,142.45,81,1617
03/07/2018,11:00,142.45,142.45,140.50,141.95,60,1589
03/08/2018,11:00,142.10,143.00,139.25,139.45,183,1642
03/09/2018,11:00,140.00,142.00,139.00,140.40,134,1707
03/12/2018,11:00,139.50,140.10,139.05,139.05,45,1729
03/13/2018,11:00,139.10,139.30,138.50,138.60,130,1743
03/14/2018,11:00,139.65,141.00,139.05,139.40,130,1774
03/15/2018,11:00,139.05,139.30,138.65,139.00,52,1782
03/16/2018,11:00,139.75,140.25,137.85,138.55,189,1785
03/19/2018,11:00,138.00,141.90,137.95,138.25,94,1780
03/20/2018,11:00,138.65,139.65,137.60,137.85,52,1789
03/21/2018,11:00,137.90,138.05,137.55,137.70,95,1828
03/22/2018,11:00,137.85,137.85,136.70,136.80,240,1887
03/23/2018,11:00,137.15,137.15,136.00,136.10,211,1937
03/26/2018,11:00,136.30,139.40,136.25,138.40,174,1977
03/27/2018,11:00,138.40,138.60,137.00,138.00,101,1988
03/28/2018,11:00,138.70,141.30,137.90,141.20,185,2068
03/29/2018,11:00,140.90,141.55,140.00,141.55,68,2178
04/02/2018,11:00,141.50,142.20,138.30,140.10,402,2438
04/03/2018,11:00,140.70,140.70,138.35,139.35,272,2747
04/04/2018,11:00,139.25,140.00,138.15,139.70,399,2920
04/05/2018,11:00,139.15,139.55,137.80,138.75,392,3171
04/06/2018,11:00,138.70,139.25,137.40,138.45,359,3351
04/09/2018,11:00,138.60,139.50,137.25,139.15,200,3524
04/10/2018,11:00,139.10,140.00,138.55,139.00,413,3887
04/11/2018,11:00,140.00,140.15,138.60,139.90,460,4298
04/12/2018,11:00,139.90,141.00,139.80,140.35,480,4638
04/13/2018,11:00,140.30,141.90,139.80,141.10,719,5115
04/16/2018,11:00,139.80,143.60,139.80,143.30,1053,5756
04/17/2018,11:00,143.70,145.70,143.30,145.65,727,6091
04/18/2018,11:00,145.00,145.45,143.05,144.65,785,6468
04/19/2018,11:00,144.20,144.85,142.00,142.75,802,6926
04/20/2018,11:00,143.00,143.65,141.75,143.05,720,7314
04/23/2018,11:00,142.40,146.40,142.10,145.95,1095,7762
04/24/2018,11:00,146.00,148.10,146.00,148.00,1790,8474
04/25/2018,11:00,147.35,149.00,145.50,148.85,1765,9184
04/26/2018,11:00,148.70,154.25,148.35,153.85,1944,9759
04/27/2018,11:00,153.90,154.20,151.15,153.85,1660,9882
04/30/2018,11:00,153.80,155.75,153.55,155.70,1067,10077
05/01/2018,11:00,155.15,158.90,154.85,158.00,1519,10018
05/02/2018,11:00,157.90,160.60,157.70,160.25,1195,10092
05/03/2018,11:00,160.00,161.80,158.55,159.10,1521,10064
05/04/2018,11:00,159.00,164.15,156.70,161.90,1611,10091
05/07/2018,11:00,162.25,165.00,161.80,164.60,1078,10350
05/08/2018,11:00,164.40,164.85,158.80,161.40,1205,10574
05/09/2018,11:00,159.15,167.10,159.10,166.65,1201,10799
05/10/2018,11:00,166.75,169.95,166.75,167.95,1270,11210
05/11/2018,11:00,167.95,169.60,166.40,169.35,927,11437
05/14/2018,11:00,169.05,171.50,168.25,171.35,698,11601
05/15/2018,11:00,170.50,171.70,168.05,169.90,712,11852
05/16/2018,11:00,169.55,171.80,168.15,170.05,696,12054
05/17/2018,11:00,170.05,171.15,169.10,169.95,401,12176
05/18/2018,11:00,169.10,169.75,165.80,166.20,869,12304
05/21/2018,11:00,166.20,168.00,165.40,167.45,653,12340
05/22/2018,11:00,168.00,169.60,166.75,168.55,598,12461
05/23/2018,11:00,168.80,169.60,167.85,169.00,446,12473
05/24/2018,11:00,168.50,169.25,166.15,168.40,588,12532
05/25/2018,11:00,168.10,169.60,166.90,169.30,432,12532
05/29/2018,11:00,169.30,172.45,168.05,169.90,842,12653
05/30/2018,11:00,168.30,168.40,161.65,162.70,1677,12006
05/31/2018,11:00,162.50,163.00,161.00,161.80,928,11638
06/01/2018,11:00,162.15,166.00,162.15,165.30,921,11342
06/04/2018,11:00,164.85,167.00,162.40,165.20,685,11262
06/05/2018,11:00,165.60,165.95,163.30,165.00,943,10876
06/06/2018,11:00,164.10,166.25,164.10,165.90,599,10737
06/07/2018,11:00,165.95,166.55,164.15,164.85,496,10480
06/08/2018,11:00,164.90,165.15,159.15,159.20,1136,9922
06/11/2018,11:00,159.10,159.50,156.25,157.00,1328,9459
06/12/2018,11:00,156.85,157.45,154.00,154.30,1832,8374
06/13/2018,11:00,154.20,155.55,153.15,153.25,1144,7515
06/14/2018,11:00,155.55,158.85,153.45,155.50,2112,5722
06/15/2018,11:00,157.00,160.35,155.65,159.90,1239,5228
06/18/2018,11:00,159.45,161.10,157.10,158.00,1192,4476
06/19/2018,11:00,157.90,157.90,156.00,156.90,591,4216
06/20/2018,11:00,157.00,157.45,155.50,156.95,956,3397
06/21/2018,11:00,158.60,159.30,155.00,155.40,753,2887
06/22/2018,11:00,155.10,161.25,154.70,160.70,349,2660
06/25/2018,11:00,160.85,162.50,157.05,157.30,564,2231
06/26/2018,11:00,157.20,157.20,155.40,155.90,588,1773
06/27/2018,11:00,156.50,159.00,155.80,157.40,603,1268
06/28/2018,11:00,158.45,159.40,157.40,159.30,311,1019
06/29/2018,11:00,158.25,159.90,158.05,159.55,211,925
07/02/2018,11:00,162.25,165.80,162.25,165.80,5,515
07/03/2018,11:00,166.50,166.50,166.50,166.50,306,515
07/05/2018,11:00,168.05,168.05,168.05,168.05,0,515
07/06/2018,11:00,168.45,168.95,168.40,168.40,219,301
07/09/2018,11:00,168.00,168.75,167.25,168.75,22,291
07/10/2018,11:00,168.00,168.00,166.75,166.75,8,287
07/11/2018,11:00,166.75,168.50,166.70,166.70,21,286
