"Date","Time","Open","High","Low","Close","Vol","OI"
06/14/2018,14:00,1719.00,1719.00,1719.00,1719.00,0,0
06/15/2018,14:00,1718.70,1718.70,1718.70,1718.70,0,0
06/18/2018,14:00,1724.70,1724.70,1724.70,1724.70,0,0
06/19/2018,14:00,1724.00,1724.00,1724.00,1724.00,0,0
06/20/2018,14:00,1738.80,1738.80,1738.80,1738.80,0,0
06/21/2018,14:00,1718.60,1718.60,1718.60,1718.60,0,0
06/22/2018,14:00,1714.80,1714.80,1714.80,1714.80,0,0
06/25/2018,14:00,1687.50,1687.50,1687.50,1687.50,0,0
06/26/2018,14:00,1699.70,1699.70,1699.70,1699.70,0,0
06/27/2018,14:00,1670.70,1670.70,1670.70,1670.70,0,0
06/28/2018,14:00,1675.30,1675.30,1675.30,1675.30,0,0
06/29/2018,14:00,1672.00,1672.00,1672.00,1672.00,0,0
07/02/2018,14:00,1683.80,1683.80,1683.80,1683.80,0,0
07/03/2018,14:00,1690.90,1690.90,1690.90,1690.90,0,0
07/05/2018,14:00,1707.90,1707.90,1707.90,1707.90,0,0
07/06/2018,14:00,1726.20,1726.20,1726.20,1726.20,0,0
07/09/2018,14:00,1734.70,1734.70,1734.70,1734.70,0,0
07/10/2018,14:00,1717.60,1717.60,1717.60,1717.60,0,0
07/11/2018,14:00,1704.80,1704.80,1704.80,1704.80,0,0
07/12/2018,14:00,1710.10,1710.10,1710.10,1710.10,0,0
07/13/2018,14:00,1710.00,1710.00,1710.00,1710.00,0,0
07/16/2018,14:00,1700.50,1700.50,1700.50,1700.50,0,0
07/17/2018,14:00,1709.00,1709.00,1709.00,1709.00,0,0
07/18/2018,14:00,1713.10,1713.10,1713.10,1713.10,0,0
07/19/2018,14:00,1723.00,1723.00,1723.00,1723.00,0,0
07/20/2018,14:00,1717.80,1717.80,1717.80,1717.80,0,0
07/23/2018,14:00,1721.20,1721.20,1721.20,1721.20,0,0
07/24/2018,14:00,1700.80,1700.80,1700.80,1700.80,0,0
07/25/2018,14:00,1707.70,1707.70,1707.70,1707.70,0,0
07/26/2018,14:00,1720.00,1720.00,1720.00,1720.00,0,0
07/27/2018,14:00,1680.40,1680.40,1680.40,1680.40,0,0
07/30/2018,14:00,1673.40,1673.40,1673.40,1673.40,0,0
07/31/2018,14:00,1691.00,1691.00,1691.00,1691.00,0,0
08/01/2018,14:00,1686.70,1686.70,1686.70,1686.70,0,0
08/02/2018,14:00,1704.00,1704.00,1704.00,1704.00,0,0
08/03/2018,14:00,1694.40,1694.40,1694.40,1694.40,0,0
08/06/2018,14:00,1705.60,1705.60,1705.60,1705.60,0,0
08/07/2018,14:00,1711.10,1711.10,1711.10,1711.10,0,0
08/08/2018,14:00,1706.50,1706.50,1706.50,1706.50,0,0
08/09/2018,14:00,1711.90,1711.90,1711.90,1711.90,0,0
08/10/2018,14:00,1707.50,1707.50,1707.50,1707.50,0,0
08/13/2018,14:00,1695.30,1695.30,1695.30,1695.30,0,0
08/14/2018,14:00,1714.40,1714.40,1714.40,1714.40,0,0
08/15/2018,14:00,1692.20,1692.20,1692.20,1692.20,0,0
08/16/2018,14:00,1707.30,1707.30,1707.30,1707.30,0,0
08/17/2018,14:00,1714.90,1714.90,1714.90,1714.90,0,0
08/20/2018,14:00,1717.10,1717.10,1717.10,1717.10,0,0
08/21/2018,14:00,1736.30,1736.30,1736.30,1736.30,0,0
08/22/2018,14:00,1741.90,1741.90,1741.90,1741.90,0,0
08/23/2018,14:00,1736.70,1736.70,1736.70,1736.70,0,0
08/24/2018,14:00,1745.30,1745.30,1745.30,1745.30,0,0
08/27/2018,14:00,1748.90,1748.90,1748.90,1748.90,0,0
08/28/2018,14:00,1747.70,1747.70,1747.70,1747.70,0,0
08/29/2018,14:00,1754.70,1754.70,1754.70,1754.70,0,0
08/30/2018,14:00,1752.30,1752.30,1752.30,1752.30,0,0
08/31/2018,14:00,1758.00,1758.00,1758.00,1758.00,0,0
09/04/2018,14:00,1753.00,1753.00,1753.00,1753.00,0,0
09/05/2018,14:00,1746.50,1746.50,1746.50,1746.50,0,0
09/06/2018,14:00,1732.70,1732.70,1732.70,1732.70,0,0
09/07/2018,14:00,1733.20,1733.20,1733.20,1733.20,0,0
09/10/2018,14:00,1737.20,1737.20,1737.20,1737.20,0,0
09/11/2018,14:00,1738.30,1738.30,1738.30,1738.30,0,0
09/12/2018,14:00,1735.10,1735.10,1735.10,1735.10,0,0
09/13/2018,14:00,1732.40,1732.40,1732.40,1732.40,0,0
09/14/2018,14:00,1741.30,1741.30,1741.30,1741.30,0,0
09/17/2018,14:00,1722.00,1722.00,1722.00,1722.00,0,0
09/18/2018,14:00,1730.70,1730.70,1730.70,1730.70,0,0
09/19/2018,14:00,1721.30,1721.30,1721.30,1721.30,0,0
09/20/2018,14:00,1747.10,1747.10,1747.10,1747.10,0,0
09/21/2018,14:00,1737.40,1737.40,1737.40,1737.40,0,0
09/24/2018,14:00,1728.60,1728.60,1728.60,1728.60,0,0
09/25/2018,14:00,1734.10,1734.10,1734.10,1734.10,0,0
09/26/2018,14:00,1714.50,1714.50,1714.50,1714.50,0,0
09/27/2018,14:00,1715.30,1715.30,1715.30,1715.30,0,0
09/28/2018,14:00,1719.60,1719.60,1719.60,1719.60,0,0
10/01/2018,14:00,1697.40,1697.40,1697.40,1697.40,0,0
10/02/2018,14:00,1678.60,1678.60,1678.60,1678.60,0,0
