"Date","Time","Open","High","Low","Close","Vol","OI"
03/05/2018,10:00,15.47,15.64,15.47,15.64,7,4640
03/06/2018,10:00,15.56,15.59,15.56,15.59,9,4634
03/07/2018,10:00,15.47,15.47,15.12,15.12,67,4653
03/08/2018,10:00,15.20,15.33,15.18,15.29,241,4691
03/09/2018,10:00,15.32,15.33,15.22,15.32,52,4703
03/12/2018,10:00,15.31,15.40,15.31,15.40,25,4703
03/13/2018,10:00,15.25,15.31,15.15,15.31,77,4710
03/14/2018,10:00,15.29,15.29,15.20,15.25,47,4685
03/15/2018,10:00,15.34,15.34,15.25,15.25,80,4731
03/16/2018,10:00,15.23,15.26,15.16,15.16,68,4753
03/19/2018,10:00,15.13,15.33,15.08,15.33,730,5034
03/20/2018,10:00,15.31,15.31,15.12,15.16,527,5279
03/21/2018,10:00,15.20,15.22,15.19,15.22,15,5287
03/22/2018,10:00,15.22,15.26,15.22,15.26,9,5289
03/23/2018,10:00,15.25,15.25,15.15,15.17,29,5282
03/26/2018,10:00,15.17,15.25,15.14,15.14,15,5280
03/27/2018,10:00,15.19,15.30,15.19,15.28,880,5411
03/28/2018,10:00,15.27,15.39,15.24,15.30,712,5528
03/29/2018,10:00,15.31,15.33,15.29,15.32,103,5584
04/02/2018,10:00,15.30,15.38,15.23,15.27,95,5548
04/03/2018,10:00,15.22,15.26,15.16,15.25,33,5550
04/04/2018,10:00,15.17,15.20,15.11,15.16,56,5550
04/05/2018,10:00,15.18,15.18,15.13,15.13,28,5556
04/06/2018,10:00,15.02,15.02,14.97,14.97,77,5610
04/09/2018,10:00,15.09,15.09,14.96,14.97,159,5704
04/10/2018,10:00,14.94,14.94,14.77,14.79,638,5961
04/11/2018,10:00,14.80,14.80,14.63,14.66,179,5916
04/12/2018,10:00,14.62,14.72,14.62,14.66,42,5938
04/13/2018,10:00,14.62,14.80,14.62,14.67,247,5928
04/16/2018,10:00,14.66,14.80,14.57,14.60,45,5939
04/17/2018,10:00,14.51,14.51,14.27,14.31,125,5947
04/18/2018,10:00,14.30,14.48,14.30,14.48,208,5997
04/19/2018,10:00,14.47,14.51,14.42,14.47,225,5931
04/20/2018,10:00,14.44,14.46,14.30,14.33,337,6127
04/23/2018,10:00,14.34,14.35,14.09,14.12,753,6470
04/24/2018,10:00,14.07,14.12,13.93,14.08,554,6403
04/25/2018,10:00,13.94,13.94,13.72,13.93,205,6316
