"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,17.30,17.83,17.30,17.72,1358,12256
03/01/2018,14:00,17.75,18.61,17.75,18.26,2235,12180
03/02/2018,14:00,18.21,18.86,18.10,18.20,2118,12180
03/05/2018,14:00,18.35,18.53,17.82,17.82,1439,12041
03/06/2018,14:00,17.75,18.18,17.75,18.00,1193,12111
03/07/2018,14:00,18.15,18.55,18.15,18.15,817,12006
03/08/2018,14:00,18.10,18.15,17.97,17.97,1296,12025
03/09/2018,14:00,17.95,18.01,17.25,17.29,1529,12025
03/12/2018,14:00,17.30,17.63,17.30,17.54,1395,12062
03/13/2018,14:00,17.45,17.92,17.45,17.80,1626,12303
03/14/2018,14:00,17.91,18.15,17.91,17.97,1678,12773
03/15/2018,14:00,18.00,18.11,17.70,17.70,1748,13067
03/16/2018,14:00,17.72,17.80,17.50,17.60,1791,13067
03/19/2018,14:00,17.73,18.31,17.73,17.89,3311,13276
03/20/2018,14:00,17.90,18.16,17.90,17.96,2323,13721
03/21/2018,14:00,18.00,18.05,17.92,17.92,3159,14266
03/22/2018,14:00,17.95,18.56,17.95,18.29,5084,14587
03/23/2018,14:00,18.37,18.97,18.07,18.81,5016,14587
03/26/2018,14:00,18.80,18.94,18.49,18.49,3473,15612
03/27/2018,14:00,18.45,19.34,18.45,19.18,5042,15893
03/28/2018,14:00,19.18,19.75,19.18,19.52,4891,16349
03/29/2018,14:00,19.47,19.57,19.06,19.06,1987,16349
04/02/2018,14:00,19.00,19.86,19.00,19.32,2915,16963
04/03/2018,14:00,19.40,19.65,19.30,19.30,3951,17052
04/04/2018,14:00,19.32,19.90,19.06,19.06,5861,17599
04/05/2018,14:00,19.05,19.20,18.88,18.88,6198,19461
04/06/2018,14:00,18.90,19.85,18.90,19.44,2513,20363
04/09/2018,14:00,19.45,19.55,19.10,19.53,2148,20685
04/10/2018,14:00,19.55,19.65,19.11,19.33,2198,21000
04/11/2018,14:00,19.33,19.66,19.32,19.58,2783,21533
04/12/2018,14:00,19.55,19.57,18.97,19.03,2289,21533
04/13/2018,14:00,19.05,19.20,18.68,18.71,3457,22334
04/16/2018,14:00,18.60,18.66,18.25,18.38,3128,23392
04/17/2018,14:00,18.40,18.40,17.81,17.98,6337,24942
04/18/2018,14:00,17.98,18.23,17.55,17.70,4725,25104
04/19/2018,14:00,17.65,18.00,17.62,17.73,3069,25104
