"Date","Time","Open","High","Low","Close","Vol","OI"
12/30/2019,15:00,18.089,18.089,18.089,18.089,0,0
12/31/2019,15:00,18.009,18.009,18.009,18.009,0,0
01/02/2020,15:00,18.134,18.134,18.134,18.134,0,0
01/03/2020,15:00,18.240,18.240,18.240,18.240,0,0
01/06/2020,15:00,18.267,18.267,18.267,18.267,0,0
01/07/2020,15:00,18.480,18.480,18.480,18.480,0,0
01/08/2020,15:00,18.256,18.256,18.256,18.256,0,0
01/09/2020,15:00,18.025,18.025,18.025,18.025,0,0
01/10/2020,15:00,18.193,18.193,18.193,18.193,0,0
01/13/2020,15:00,18.084,18.084,18.084,18.084,0,0
01/14/2020,15:00,17.827,17.827,17.827,17.827,0,0
01/15/2020,15:00,18.072,18.072,18.072,18.072,0,0
01/16/2020,15:00,18.024,18.024,18.024,18.024,0,0
01/17/2020,15:00,18.158,18.158,18.158,18.158,0,0
01/20/2020,15:00,18.158,18.158,18.158,18.158,0,0
01/21/2020,15:00,17.892,17.892,17.892,17.892,0,0
01/22/2020,15:00,17.911,17.911,17.911,17.911,0,0
01/23/2020,15:00,17.911,17.911,17.911,17.911,0,0
01/24/2020,15:00,18.194,18.194,18.194,18.194,0,0
01/27/2020,15:00,18.138,18.138,18.138,18.138,0,0
01/28/2020,15:00,17.539,17.539,17.539,17.539,0,0
01/29/2020,15:00,17.568,17.568,17.568,17.568,0,0
01/30/2020,15:00,18.032,18.032,18.032,18.032,0,0
01/31/2020,15:00,18.052,18.052,18.052,18.052,0,0
02/03/2020,15:00,17.712,17.712,17.712,17.712,0,0
02/04/2020,15:00,17.600,17.600,17.600,17.600,0,0
02/05/2020,15:00,17.643,17.643,17.643,17.643,0,0
02/06/2020,15:00,17.857,17.857,17.857,17.857,0,0
02/07/2020,15:00,17.733,17.733,17.733,17.733,0,0
02/10/2020,15:00,17.826,17.826,17.826,17.826,0,0
02/11/2020,15:00,17.638,17.638,17.638,17.638,0,0
02/12/2020,15:00,17.537,17.537,17.537,17.537,0,0
02/13/2020,15:00,17.660,17.660,17.660,17.660,0,0
02/14/2020,15:00,17.775,17.775,17.775,17.775,0,0
02/17/2020,15:00,17.775,17.775,17.775,17.775,0,0
02/18/2020,15:00,18.012,18.192,18.012,18.192,3,3
02/19/2020,15:00,18.190,18.365,18.190,18.359,3,5
02/20/2020,15:00,18.367,18.367,18.367,18.367,0,5
02/21/2020,15:00,18.555,18.579,18.555,18.579,8,7
02/24/2020,15:00,18.652,18.923,18.643,18.923,13,9
02/25/2020,15:00,18.229,18.229,18.229,18.229,0,9
02/26/2020,15:00,18.006,18.164,17.846,17.874,18,17
02/27/2020,15:00,17.629,17.880,17.600,17.693,4,17
02/28/2020,15:00,16.423,16.423,16.423,16.423,0,17
03/02/2020,15:00,17.224,17.224,16.705,16.705,1,16
03/03/2020,15:00,17.158,17.158,17.158,17.158,0,16
03/04/2020,15:00,17.216,17.216,17.216,17.216,0,16
03/05/2020,15:00,17.361,17.361,17.361,17.361,0,16
03/06/2020,15:00,17.231,17.231,17.231,17.231,0,16
03/09/2020,15:00,17.020,17.020,17.020,17.020,0,16
03/10/2020,15:00,16.923,16.923,16.923,16.923,0,16
03/11/2020,15:00,16.816,16.816,16.479,16.743,3,16
03/12/2020,15:00,15.974,15.974,15.974,15.974,0,16
03/13/2020,15:00,15.500,15.500,14.471,14.471,1,16
03/16/2020,15:00,12.796,12.796,12.796,12.796,0,16
03/17/2020,15:00,12.600,12.954,12.100,12.475,31,17
03/18/2020,15:00,12.750,12.750,11.500,11.747,9,16
03/19/2020,15:00,11.990,12.112,11.990,12.112,2,18
03/20/2020,15:00,12.700,12.700,12.356,12.356,2,18
03/23/2020,15:00,12.500,13.250,12.500,13.234,14,15
03/24/2020,15:00,13.900,14.300,13.900,14.233,6,15
03/25/2020,15:00,14.729,14.841,14.000,14.841,6,14
03/26/2020,15:00,14.259,14.618,14.259,14.618,2,14
03/27/2020,15:00,13.700,14.476,13.700,14.476,6,13
03/30/2020,15:00,14.074,14.074,14.074,14.074,4,9
03/31/2020,15:00,14.098,14.098,14.098,14.098,1,9
04/01/2020,15:00,13.926,13.926,13.926,13.926,0,4
04/02/2020,15:00,14.596,14.596,14.596,14.596,0,4
04/03/2020,15:00,14.436,14.436,14.436,14.436,0,4
04/06/2020,15:00,15.111,15.111,15.111,15.111,0,4
04/07/2020,15:00,15.422,15.422,15.422,15.422,0,4
04/08/2020,15:00,15.147,15.147,15.147,15.147,0,4
04/09/2020,15:00,15.995,15.995,15.995,15.995,0,4
04/13/2020,15:00,15.479,15.479,15.479,15.479,0,4
04/14/2020,15:00,16.072,16.072,16.072,16.072,0,4
04/15/2020,15:00,15.447,15.447,15.447,15.447,0,4
04/16/2020,15:00,15.564,15.564,15.564,15.564,0,4
04/17/2020,15:00,15.237,15.237,15.237,15.237,0,4
04/20/2020,15:00,15.556,15.556,15.556,15.556,0,4
04/21/2020,15:00,14.818,14.818,14.818,14.818,0,4
04/22/2020,15:00,15.277,15.277,15.277,15.277,0,4
04/23/2020,15:00,15.348,15.348,15.348,15.348,0,4
